Time,Demand
23,2701
22,2694
21,2705
20,2777
19,2887
18,3117
17,3328
16,3436
15,3461
14,3453
13,3217
12,2868
11,2670
10,2584
9,2543
8,2577
7,2713
6,2895
5,3141
4,3468
3,3686
2,3566
1,3204
0,2927
23,2799
22,2747
21,2754
20,2798
19,2920
18,3132
17,3321
16,3433
15,3449
14,3424
13,3184
12,2830
11,2636
10,2548
9,2529
8,2573
7,2693
6,2872
5,3135
4,3451
3,3664
2,3548
1,3164
0,2887
23,2746
22,2724
21,2725
20,2775
19,2889
18,3095
17,3311
16,3424
15,3451
14,3450
13,3183
12,2837
11,2643
10,2561
9,2542
8,2581
7,2690
6,2841
5,3062
4,3338
3,3526
2,3396
1,3019
0,2763
23,2632
22,2596
21,2594
20,2653
19,2773
18,2970
17,3167
16,3283
15,3333
14,3343
13,3143
12,2815
11,2648
10,2563
9,2545
8,2545
7,2649
6,2723
5,2851
4,2941
3,2896
2,2802
1,2693
0,2607
23,2586
22,2610
21,2635
20,2707
19,2839
18,3006
17,3153
16,3228
15,3273
14,3296
13,3143
12,2816
11,2643
10,2610
9,2662
8,2672
7,2865
6,3049
5,3146
4,3165
3,3112
2,2985
1,2815
0,2698
23,2656
22,2650
21,2669
20,2741
19,2856
18,3020
17,3169
16,3237
15,3258
14,3287
13,3118
12,2815
11,2649
10,2550
9,2517
8,2527
7,2618
6,2732
5,2931
4,3174
3,3326
2,3211
1,2874
0,2632
23,2539
22,2531
21,2539
20,2633
19,2752
18,2981
17,3228
16,3353
15,3385
14,3389
13,3217
12,2884
11,2709
10,2608
9,2573
8,2587
7,2679
6,2832
5,3045
4,3325
3,3524
2,3427
1,3048
0,2791
23,2661
22,2625
21,2616
20,2675
19,2788
18,3000
17,3213
16,3346
15,3382
14,3390
13,3183
12,2869
11,2685
10,2589
9,2534
8,2557
7,2628
6,2766
5,2954
4,3234
3,3435
2,3331
1,2984
0,2705
23,2602
22,2566
21,2597
20,2642
19,2766
18,2987
17,3209
16,3349
15,3411
14,3393
13,3203
12,2869
11,2722
10,2661
9,2621
8,2593
7,2644
6,2756
5,2972
4,3250
3,3433
2,3327
1,2981
0,2733
23,2609
22,2582
21,2580
20,2643
19,2770
18,2977
17,3206
16,3327
15,3391
14,3396
13,3194
12,2891
11,2727
10,2658
9,2600
8,2631
7,2646
6,2773
5,2935
4,3110
3,3229
2,3113
1,2792
0,2557
23,2465
22,2434
21,2466
20,2522
19,2648
18,2860
17,3072
16,3208
15,3267
14,3295
13,3132
12,2796
11,2650
10,2572
9,2491
8,2528
7,2526
6,2593
5,2690
4,2786
3,2798
2,2717
1,2575
0,2500
23,2474
22,2494
21,2531
20,2624
19,2728
18,2911
17,3034
16,3115
15,3133
14,3196
13,3090
12,2765
11,2573
10,2467
9,2424
8,2454
7,2543
6,2710
5,2926
4,3141
3,3196
2,3079
1,2882
0,2744
23,2689
22,2668
21,2699
20,2750
19,2866
18,3025
17,3183
16,3235
15,3276
14,3281
13,3124
12,2788
11,2595
10,2515
9,2477
8,2505
7,2627
6,2781
5,3000
4,3277
3,3495
2,3382
1,3017
0,2777
23,2650
22,2632
21,2648
20,2717
19,2815
18,3031
17,3242
16,3367
15,3408
14,3393
13,3195
12,2832
11,2637
10,2525
9,2504
8,2522
7,2598
6,2713
5,2875
4,3084
3,3265
2,3198
1,2846
0,2626
23,2529
22,2520
21,2548
20,2608
19,2714
18,2943
17,3115
16,3289
15,3341
14,3343
13,3151
12,2845
11,2670
10,2558
9,2512
8,2496
7,2553
6,2676
5,2833
4,3042
3,3222
2,3160
1,2833
0,2593
23,2501
22,2476
21,2526
20,2575
19,2710
18,2942
17,3168
16,3320
15,3366
14,3385
13,3208
12,2865
11,2736
10,2711
9,2699
8,2723
7,2759
6,2931
5,3065
4,3156
3,3242
2,3130
1,2801
0,2584
23,2485
22,2478
21,2505
20,2566
19,2682
18,2897
17,3137
16,3270
15,3341
14,3370
13,3190
12,2890
11,2697
10,2640
9,2595
8,2541
7,2566
6,2640
5,2758
4,2928
3,3042
2,2980
1,2670
0,2448
23,2353
22,2331
21,2376
20,2437
19,2577
18,2788
17,3012
16,3159
15,3234
14,3304
13,3149
12,2884
11,2716
10,2605
9,2520
8,2441
7,2426
6,2450
5,2512
4,2551
3,2534
2,2492
1,2380
0,2325
23,2316
22,2327
21,2398
20,2481
19,2626
18,2816
17,2962
16,3050
15,3137
14,3196
13,3133
12,2936
11,2775
10,2643
9,2559
8,2504
7,2524
6,2658
5,2742
4,2744
3,2691
2,2579
1,2449
0,2374
23,2344
22,2362
21,2421
20,2488
19,2625
18,2833
17,2978
16,3090
15,3156
14,3221
13,3111
12,2920
11,2838
10,2766
9,2028
8,2023
7,2690
6,2717
5,2806
4,2911
3,2971
2,2882
1,2602
0,2415
23,2344
22,2350
21,2397
20,2474
19,2610
18,2827
17,3047
16,3168
15,3234
14,3277
13,3169
12,2922
11,2837
10,2776
9,2770
8,2793
7,2862
6,2875
5,2887
4,2946
3,3018
2,2945
1,2663
0,2452
23,2383
22,2386
21,2424
20,2497
19,2623
18,2837
17,3063
16,3217
15,3288
14,3315
13,3217
12,2952
11,2838
10,2762
9,2773
8,2777
7,2750
6,2758
5,2828
4,2953
3,3022
2,2947
1,2671
0,2458
23,2379
22,2390
21,2421
20,2492
19,2638
18,2845
17,3058
16,3202
15,3269
14,3316
13,3188
12,2922
11,2802
10,2685
9,2598
8,2559
7,2562
6,2627
5,2733
4,2888
3,3018
2,2971
1,2670
0,2480
23,2405
22,2402
21,2437
20,2526
19,2650
18,2880
17,3122
16,3277
15,3352
14,3410
13,3269
12,3004
11,2931
10,2925
9,2863
8,2787
7,2730
6,2680
5,2765
4,2843
3,2960
2,2913
1,2620
0,2413
23,2340
22,2329
21,2370
20,2441
19,2585
18,2810
17,3049
16,3216
15,3330
14,3436
13,3364
12,3228
11,3036
10,2839
9,2658
8,2541
7,2467
6,2447
5,2453
4,2492
3,2496
2,2472
1,2380
0,2335
23,2335
22,2365
21,2413
20,2506
19,2642
18,2841
17,2986
16,3103
15,3198
14,3294
13,3266
12,3147
11,2953
10,2779
9,2626
8,2540
7,2537
6,2529
5,2528
4,2573
3,2551
2,2512
1,2394
0,2339
23,2313
22,2350
21,2409
20,2501
19,2650
18,2820
17,2978
16,3082
15,3174
14,3260
13,3226
12,3085
11,2933
10,2760
9,2605
8,2496
7,2468
6,2464
5,2486
4,2545
3,2570
2,2550
1,2434
0,2340
23,2300
22,2316
21,2367
20,2437
19,2555
18,2716
17,2852
16,2927
15,3008
14,3108
13,3171
12,3215
11,3161
10,3071
9,2952
8,2865
7,2785
6,2716
5,2695
4,2641
3,2578
2,2525
1,2427
0,2363
23,2353
22,2376
21,2452
20,2554
19,2706
18,2918
17,3103
16,3234
15,3338
14,3419
13,3383
12,3262
11,3127
10,2972
9,2847
8,2752
7,2725
6,2723
5,2775
4,2860
3,2925
2,2847
1,2637
0,2465
23,2391
22,2407
21,2443
20,2517
19,2660
18,2864
17,3055
16,3169
15,3269
14,3314
13,3204
12,2972
11,2854
10,2764
9,2663
8,2597
7,2613
6,2692
5,2775
4,2911
3,3021
2,2981
1,2699
0,2510
23,2428
22,2417
21,2461
20,2530
19,2649
18,2858
17,3064
16,3220
15,3298
14,3338
13,3209
12,2933
11,2827
10,2718
9,2627
8,2608
7,2596
6,2660
5,2800
4,2924
3,3010
2,2974
1,2696
0,2492
23,2402
22,2392
21,2426
20,2487
19,2600
18,2799
17,2993
16,3150
15,3220
14,3282
13,3151
12,2929
11,2719
10,2563
9,2448
8,2417
7,2414
6,2454
5,2510
