Time,Demand
"('0.0',)",2482.83419051
"('1.0',)",2726.37139979
"('2.0',)",2851.63036017
"('3.0',)",2885.665737
"('4.0',)",2848.74295497
"('5.0',)",2905.78659165
"('6.0',)",2934.23889453
"('7.0',)",2975.56656824
"('8.0',)",3176.50368868
"('9.0',)",3402.64511095
"('10.0',)",3610.54332549
"('11.0',)",3793.96278747
"('12.0',)",3962.74466918
"('13.0',)",3972.89783082
"('14.0',)",3904.08533822
"('15.0',)",3685.86472888
"('16.0',)",3491.84972671
"('17.0',)",3352.08685979
"('18.0',)",3079.92931921
"('19.0',)",2934.31612549
"('20.0',)",2747.84773865
"('21.0',)",2535.29844541
"('22.0',)",2466.87257041
"('23.0',)",2452.57892546
