Time,Demand
11,5680
10,5514
9,5578
8,5786
7,6082
6,6313
5,6484
4,6563
3,6627
2,6394
1,6312
0,6297
23,6313
22,6247
21,6352
20,6253
19,6287
18,5950
17,5998
16,6313
15,6620
14,6553
13,6336
12,6021
11,5890
10,5735
9,5812
8,5821
7,5963
6,6214
5,6257
4,6667
3,6659
2,6453
1,6280
0,6237
23,6019
22,6012
21,6120
20,6190
19,6338
18,6564
17,6835
16,6791
15,6792
14,6711
13,6348
12,6104
11,6116
10,6065
9,6059
8,6114
7,6210
6,6462
5,6525
4,6690
3,6705
2,6730
1,6594
0,6330
23,6168
22,6137
21,6152
20,6198
19,6331
18,6224
17,6311
16,6286
15,6367
14,6249
13,5977
12,5862
11,5765
10,5814
9,5873
8,5888
7,5873
6,5937
5,6282
4,6558
3,6547
2,6488
1,6185
0,6058
23,5989
22,5966
21,6070
20,5868
19,6109
18,6349
17,6378
16,6398
15,6451
14,6526
13,6361
12,5997
11,5794
10,5758
9,5837
8,5780
7,5767
6,5817
5,6026
4,6085
3,6033
2,6017
1,5926
0,5887
23,5809
22,5718
21,5691
20,6111
19,6304
18,6242
17,6232
16,6100
15,6190
14,6201
13,6027
12,5863
11,5842
10,5649
9,5551
8,5686
7,5856
6,5990
5,5931
4,6065
3,6018
2,6208
1,6157
0,6057
23,6068
22,6042
21,5955
20,5977
19,6163
18,6254
17,6141
16,5948
15,5844
14,5757
13,5653
12,5782
11,5935
10,5912
9,5810
8,5755
7,5796
6,5756
5,5853
4,6355
3,6545
2,6428
1,5942
0,5826
23,5873
22,5974
21,5936
20,5878
19,6113
18,6059
17,6196
16,6205
15,6201
14,6186
13,6049
12,5903
11,5644
10,5618
9,5664
8,5673
7,5801
6,6063
5,6141
4,6549
3,6560
2,6647
1,6448
0,6211
23,6009
22,6038
21,5976
20,6082
19,5943
18,5923
17,6424
16,6287
15,6241
14,6220
13,5879
12,6000
11,6016
10,5854
9,5666
8,5799
7,5756
6,5722
5,6133
4,6340
3,6151
2,6492
1,6174
0,6006
23,5688
22,5630
21,5602
20,5688
19,5563
18,5669
17,5875
16,6060
15,5971
14,5875
13,5675
12,5659
11,5666
10,5547
9,5470
8,5466
7,5681
6,5896
5,5958
4,6191
3,6217
2,6625
1,6483
0,6113
23,5942
22,5959
21,5953
20,5994
19,6033
18,6340
17,6677
16,6723
15,7007
14,6835
13,6477
12,6254
11,6030
10,5684
9,5654
8,6020
7,5986
6,6112
5,6102
4,6460
3,6538
2,6484
1,6253
0,5971
23,5805
22,5785
21,5815
20,5832
