Time,Demand
"('0.0',)",5213.00767903
"('1.0',)",5614.487837
"('2.0',)",5655.50052108
"('3.0',)",5574.42332898
"('4.0',)",5764.57478675
"('5.0',)",5795.36940178
"('6.0',)",5756.0314406
"('7.0',)",5691.27340866
"('8.0',)",5994.34980845
"('9.0',)",6017.3525416
"('10.0',)",6187.11443926
"('11.0',)",6181.03451159
"('12.0',)",6464.34633594
"('13.0',)",6832.31971071
"('14.0',)",6908.92967856
"('15.0',)",6908.75089298
"('16.0',)",6851.76978106
"('17.0',)",6389.42476568
"('18.0',)",5899.38986397
"('19.0',)",5383.93931349
"('20.0',)",5253.56306478
"('21.0',)",4951.71251968
"('22.0',)",4957.21531807
"('23.0',)",4935.98012231
