Time,Demand
23,3612
22,3553
21,3647
20,3476
19,3400
18,2833
17,2670
16,2877
15,3159
14,3100
13,3119
12,3153
11,3220
10,3151
9,3269
8,3244
7,3250
6,3319
5,3116
4,3199
3,2973
2,2887
1,3076
0,3310
23,3220
22,3265
21,3366
20,3392
19,3418
18,3432
17,3514
16,3358
15,3343
14,3287
13,3164
12,3274
11,3480
10,3517
9,3530
8,3541
7,3517
6,3590
5,3390
4,3239
3,3041
2,3182
1,3430
0,3443
23,3422
22,3413
21,3427
20,3423
19,3442
18,3129
17,3000
16,2862
15,2916
14,2799
13,2794
12,3025
11,3122
10,3253
9,3331
8,3307
7,3183
6,3096
5,3220
4,3220
3,3021
2,3092
1,3166
0,3295
23,3357
22,3370
21,3476
20,3215
19,3336
18,3379
17,3211
16,3115
15,3118
14,3183
13,3218
12,3182
11,3146
10,3195
9,3292
8,3235
7,3118
6,3094
5,3175
4,3144
3,3137
2,3215
1,3233
0,3280
23,3223
22,3108
21,3056
20,3404
19,3465
18,3236
17,3079
16,2872
15,2917
14,2905
13,2884
12,3047
11,3199
10,3039
9,2889
8,3014
7,2991
6,2941
5,2785
4,2900
3,2906
2,3223
1,3342
0,3359
23,3412
22,3392
21,3286
20,3236
19,3307
18,3234
17,2972
16,2711
15,2586
14,2470
13,2535
12,2967
11,3286
10,3362
9,3293
8,3228
7,3178
6,3024
5,2922
4,3181
3,3219
2,3217
1,3068
0,3194
23,3334
22,3443
21,3397
20,3245
19,3361
18,3078
17,2968
16,2852
15,2816
14,2797
13,2832
12,3019
11,2935
10,3010
9,3091
8,3086
7,3122
6,3231
5,3096
4,3224
3,3036
2,3220
1,3400
0,3420
23,3348
22,3413
21,3360
20,3407
19,3155
18,2923
17,3211
16,2941
15,2859
14,2830
13,2696
12,3131
11,3331
10,3265
9,3132
8,3242
7,3128
6,2956
5,3179
4,3106
3,2716
2,3161
1,3190
0,3301
23,3086
22,3064
21,3005
20,3046
19,2797
18,2682
17,2666
16,2711
15,2560
14,2482
13,2472
12,2790
11,2944
10,2886
9,2849
8,2873
7,3037
6,3140
5,2986
4,2941
3,2784
2,3298
1,3502
0,3380
23,3333
22,3377
21,3373
20,3351
19,3263
18,3363
17,3471
16,3396
15,3616
14,3439
13,3283
12,3363
11,3303
10,3026
9,3054
8,3389
7,3340
6,3339
5,3167
4,3350
3,3309
2,3371
1,3461
0,3414
23,3340
22,3351
21,3349
20,3310
19,3418
18,3421
17,3216
16,3170
15,3063
14,2997
13,3094
12,3203
11,3156
10,2929
9,3040
8,3062
7,3273
6,3449
5,3330
4,3083
3,3185
2,3263
1,3426
0,3508
23,3512
22,3505
21,3457
20,3381
19,3419
18,3257
17,3136
16,3129
15,3399
14,3564
13,3451
12,3393
11,3425
10,3542
9,3395
8,3329
7,3311
6,3304
5,3172
4,3038
3,2950
2,2917
1,3017
0,2988
23,2963
22,2961
21,3050
20,3325
19,3386
18,3378
17,3390
16,3350
15,3192
14,3157
13,3058
12,3238
11,3053
10,3044
9,3047
8,3118
7,3100
6,3043
5,2894
4,3269
3,3018
2,2963
1,3108
0,3176
23,3219
22,3243
21,3285
20,3208
19,3173
18,3458
17,3483
16,3378
15,3326
14,3268
13,3309
12,3327
11,3227
10,3324
9,3214
8,3229
7,3079
6,3103
5,3313
4,3520
3,3337
2,3170
1,3125
0,3070
23,3147
22,3196
21,3212
20,3346
19,3375
18,3275
17,3210
16,3073
15,2796
14,2791
13,2891
12,3052
11,2989
10,3049
9,3130
8,3333
7,3251
6,3114
5,3109
4,3416
3,3595
2,3505
1,3422
0,3386
23,3405
22,3488
21,3483
20,3500
19,3427
18,3110
17,2894
16,2801
15,2745
14,2868
13,3456
12,3500
11,3277
10,3228
9,3206
8,3563
7,3761
6,3687
5,3471
4,3642
3,3506
2,3459
1,3629
0,3470
23,3411
22,3270
21,3189
20,3139
19,3257
18,3282
17,3167
16,3266
15,3062
14,3254
13,3313
12,3254
11,3282
10,3108
9,3243
8,3374
7,3380
6,3244
5,3200
4,3267
3,3196
2,3114
1,3155
0,3271
23,3337
22,3121
21,3188
20,3041
19,3046
18,3315
17,3108
16,2962
15,3137
14,3073
13,2881
12,2888
11,2861
10,2790
9,2936
8,3010
7,3004
6,2865
5,2984
4,3125
3,3142
2,3042
1,3569
0,3506
23,3487
22,3651
21,3580
20,3597
19,3608
18,3429
17,3481
16,3560
15,3432
14,3026
13,3356
12,3342
11,3413
10,3467
9,3449
8,3517
7,3296
6,3079
5,3102
4,3337
3,3405
2,3505
1,3374
0,3364
23,3272
22,3333
21,3526
20,3630
19,3564
18,3415
17,3276
16,3222
15,3234
14,3144
13,3072
12,3032
11,2931
10,2880
9,2907
8,2898
7,2690
6,2832
5,3050
4,3077
3,3202
2,3139
1,3060
0,2976
23,3051
22,3178
21,3249
20,3229
19,3108
18,2832
17,2617
16,2754
15,2749
14,3102
13,2934
12,3250
11,3320
10,3420
9,3264
8,3209
7,3138
6,3063
5,3008
4,2936
3,2730
2,2807
1,3182
0,3148
23,3119
22,3176
21,3236
20,3071
19,3144
18,3207
17,3339
16,3292
15,3133
14,2947
13,2904
12,3043
11,3084
10,3102
9,3050
8,3097
7,3088
6,3210
5,2955
4,3366
3,3337
2,3229
1,3331
0,3433
23,3407
22,3444
21,3476
20,3552
19,3622
18,3384
17,3395
16,3361
15,3300
14,3183
13,2838
12,2844
11,2888
10,2775
9,2985
8,3173
7,3250
6,3065
5,2895
4,2913
3,2923
2,3111
1,3280
0,3281
23,3271
22,3277
21,3227
20,3151
19,2951
18,2722
17,2551
16,2745
15,2798
14,2758
13,2643
12,2852
11,2969
10,2796
9,2633
8,2657
7,2877
6,2996
5,2976
4,3021
3,2704
2,2637
1,2842
0,3058
23,3106
22,3113
21,2997
20,2901
19,2998
18,2970
17,2661
16,2719
15,2783
14,2953
13,2734
12,2794
11,2736
10,2670
9,2804
8,2872
7,2914
6,2987
5,2999
4,3061
3,2964
2,2866
1,2967
0,2993
23,2996
22,2973
21,3179
20,3170
19,3020
18,2688
17,2412
16,2421
15,2384
14,2420
13,2703
12,3010
11,3014
10,3147
9,3223
8,3195
7,3227
6,3192
5,3102
4,3101
3,3064
2,3077
1,3175
0,3181
23,3148
22,3051
21,3002
20,2967
19,3060
18,2892
17,2579
16,2519
15,2296
14,2330
13,2481
12,2771
11,2724
10,2673
9,2778
8,2837
7,2871
6,2893
5,2879
4,2812
3,2749
2,2641
1,2841
0,2885
23,2916
22,2993
21,2940
20,2942
19,3124
18,2778
17,2799
16,2720
15,2670
14,2685
13,2785
12,2797
11,2848
10,2857
9,2964
8,3024
7,3078
6,3138
5,3053
4,2924
3,3033
2,2999
1,3090
0,3235
23,3270
22,3305
21,3249
20,3225
19,3124
18,2899
17,2960
16,2622
15,2306
14,2429
13,2461
12,2611
11,2711
10,2876
9,2914
8,2921
7,3024
6,3170
5,3103
4,3042
3,3081
2,3084
1,3219
0,3216
23,3267
22,3307
21,3233
20,3308
19,3238
18,3052
17,2834
16,2713
15,2424
14,2466
13,2555
12,2790
11,3059
10,3068
9,3137
8,3203
7,3278
6,3167
5,3144
4,3060
3,3061
2,2985
1,3044
0,3105
23,3134
22,3131
21,3288
20,3313
19,3331
18,3178
17,3213
16,3207
15,3245
14,3170
13,2979
12,2908
11,2880
10,3026
9,3096
8,3098
7,3085
6,3070
5,3132
4,3255
3,3218
2,3112
1,3241
0,3224
23,3177
22,3224
21,3346
20,3306
19,3197
18,3279
17,3334
16,3356
15,3265
14,3123
13,2998
12,2822
11,2935
10,3097
9,3171
8,3210
7,3200
6,3261
5,3214
4,2946
3,2821
2,2824
1,2946
0,3010
23,3161
22,3220
21,3194
20,3263
19,3303
18,3214
17,3091
16,3067
15,3090
14,3035
13,2942
12,2996
11,3085
10,3167
9,3162
8,3173
7,3151
6,3056
5,2976
4,2880
3,2643
2,2696
1,2833
0,2784
23,2771
22,2837
21,2864
20,2741
19,2644
18,2469
17,2442
16,2382
15,2419
14,2543
13,2570
12,2531
11,2528
10,2592
9,2700
8,2727
7,2729
6,2882
5,2891
4,2914
3,2724
2,2698
1,2865
0,2908
23,2978
22,3084
21,3073
20,2909
19,2803
18,2509
17,2392
16,2366
15,2444
14,2568
13,2539
12,2758
11,3014
10,3170
9,3121
8,2952
7,3154
6,2951
5,2960
4,2841
3,2780
2,2751
1,2874
0,2999
23,3163
22,3001
21,2990
20,3002
19,2957
18,2535
17,2384
16,2396
15,2489
14,2784
13,2780
12,2715
11,2628
10,2612
9,2791
8,2983
7,3065
6,3075
5,2991
4,3057
3,2843
2,2768
1,2786
0,2807
23,2862
22,2876
21,2834
20,2797
19,3091
18,2937
17,2777
16,3026
15,3036
14,3001
13,2689
12,2727
11,2947
10,2897
9,2896
8,3015
7,3133
6,3182
5,3085
4,3145
3,3065
2,2988
1,2941
0,3121
23,3138
22,3196
21,3157
20,3015
19,3173
18,3005
17,3013
16,3151
15,3057
14,3119
13,2972
12,2755
11,2724
10,2708
9,2725
8,3054
7,3082
6,3176
5,2990
4,3183
3,3051
2,2933
1,2985
0,3077
23,3022
22,2970
21,2945
20,2916
19,3099
18,2976
17,3009
16,2980
15,2978
14,3099
13,2969
12,2884
11,2890
10,2877
9,2923
8,3010
7,3294
6,3280
5,3136
4,2957
3,3049
2,3098
1,3123
0,3040
23,3016
22,3026
21,2996
20,3000
19,3153
18,3226
17,3245
16,3348
15,3196
14,3099
13,2912
12,2688
11,2596
10,2641
9,2722
8,2847
7,2871
6,2947
5,2950
4,2869
3,2805
2,2843
1,3004
0,2884
23,2887
22,2894
21,2966
20,3069
19,3102
18,3072
17,2828
16,2884
15,2983
14,3092
13,2793
12,2777
11,2774
10,2852
9,3008
8,3100
7,3178
6,3238
5,3258
4,3147
3,3114
2,2913
1,2978
0,3024
23,2967
22,2991
21,3090
20,3041
19,3001
18,2649
17,2525
16,2833
15,3131
14,3088
13,2849
12,2684
11,2724
