Time,Demand
"('0.0',)",3096.13429699
"('1.0',)",2936.01232361
"('2.0',)",2971.65575293
"('3.0',)",3246.02848767
"('4.0',)",3544.51227591
"('5.0',)",3424.45653299
"('6.0',)",3612.28513922
"('7.0',)",3450.24156359
"('8.0',)",3306.43800375
"('9.0',)",3117.51718856
"('10.0',)",3069.49312163
"('11.0',)",2823.59953889
"('12.0',)",2439.43285095
"('13.0',)",2253.89166834
"('14.0',)",2096.80449525
"('15.0',)",2010.42726631
"('16.0',)",1998.75615836
"('17.0',)",2028.57730282
"('18.0',)",2095.14877225
"('19.0',)",2164.34995266
"('20.0',)",2598.53283825
"('21.0',)",2959.71591153
"('22.0',)",3177.57132346
"('23.0',)",3142.09122353
