Time,Demand
23,5680
22,5514
21,5578
20,5786
19,6082
18,6313
17,6484
16,6563
15,6627
14,6394
13,6312
12,6297
11,6313
10,6247
09,6352
08,6253
07,6287
06,5950
05,5998
04,6313
03,6620
02,6553
01,6336
00,6021
23,5890
22,5735
21,5812
20,5821
19,5963
18,6214
17,6257
16,6667
15,6659
14,6453
13,6280
12,6237
11,6019
10,6012
09,6120
08,6190
07,6338
06,6564
05,6835
04,6791
03,6792
02,6711
01,6348
00,6104
23,6116
22,6065
21,6059
20,6114
19,6210
18,6462
17,6525
16,6690
15,6705
14,6730
13,6594
12,6330
11,6168
10,6137
09,6152
08,6198
07,6331
06,6224
05,6311
04,6286
03,6367
02,6249
01,5977
00,5862
23,5765
22,5814
21,5873
20,5888
19,5873
18,5937
17,6282
16,6558
15,6547
14,6488
13,6185
12,6058
11,5989
10,5966
09,6070
08,5868
07,6109
06,6349
05,6378
04,6398
03,6451
02,6526
01,6361
00,5997
23,5794
22,5758
21,5837
20,5780
19,5767
18,5817
17,6026
16,6085
15,6033
14,6017
13,5926
12,5887
11,5809
10,5718
09,5691
08,6111
07,6304
06,6242
05,6232
04,6100
03,6190
02,6201
01,6027
00,5863
23,5842
22,5649
21,5551
20,5686
19,5856
18,5990
17,5931
16,6065
15,6018
14,6208
13,6157
12,6057
11,6068
10,6042
09,5955
08,5977
07,6163
06,6254
05,6141
04,5948
03,5844
02,5757
01,5653
00,5782
23,5935
22,5912
21,5810
20,5755
19,5796
18,5756
17,5853
16,6355
15,6545
14,6428
13,5942
12,5826
11,5873
10,5974
09,5936
08,5878
07,6113
06,6059
05,6196
04,6205
03,6201
02,6186
01,6049
00,5903
23,5644
22,5618
21,5664
20,5673
19,5801
18,6063
17,6141
16,6549
15,6560
14,6647
13,6448
12,6211
11,6009
10,6038
09,5976
08,6082
07,5943
06,5923
05,6424
04,6287
03,6241
02,6220
01,5879
00,6000
23,6016
22,5854
21,5666
20,5799
19,5756
18,5722
17,6133
16,6340
15,6151
14,6492
13,6174
12,6006
11,5688
10,5630
09,5602
08,5688
07,5563
06,5669
05,5875
04,6060
03,5971
02,5875
01,5675
00,5659
23,5666
22,5547
21,5470
20,5466
19,5681
18,5896
17,5958
16,6191
15,6217
14,6625
13,6483
12,6113
11,5942
10,5959
09,5953
08,5994
07,6033
06,6340
05,6677
04,6723
03,7007
02,6835
01,6477
00,6254
23,6030
22,5684
21,5654
20,6020
19,5986
18,6112
17,6102
16,6460
15,6538
14,6484
13,6253
12,5971
11,5805
10,5785
09,5815
08,5832
07,6066
06,6281
05,6288
04,6378
03,6330
02,6292
01,6226
00,5999
23,5806
22,5501
21,5531
20,5590
19,5799
18,6042
17,6020
16,5869
15,5983
14,5980
13,6001
12,6008
11,5986
10,5999
09,5988
08,6005
07,6147
06,6168
05,6170
04,6244
03,6532
02,6760
01,6541
00,6158
23,5998
22,6009
21,5819
20,5783
