Time,Demand
"('0.0',)",3908.49544392
"('1.0',)",3977.0506831
"('2.0',)",3829.24112373
"('3.0',)",3672.96278888
"('4.0',)",3558.09289494
"('5.0',)",3240.48931254
"('6.0',)",2997.60586212
"('7.0',)",2875.11382918
"('8.0',)",2555.66867991
"('9.0',)",2413.65410879
"('10.0',)",2382.22825577
"('11.0',)",2395.75570899
"('12.0',)",2571.66662176
"('13.0',)",2671.10377075
"('14.0',)",2838.90957492
"('15.0',)",2899.27436612
"('16.0',)",2907.51908628
"('17.0',)",2873.28798947
"('18.0',)",2940.47501643
"('19.0',)",2934.70731863
"('20.0',)",2892.28889801
"('21.0',)",3115.47592285
"('22.0',)",3324.23531424
"('23.0',)",3295.96901454
