Time,Demand
23,2640
22,2707
21,2842
20,2987
19,3294
18,3698
17,4139
16,4467
15,4560
14,4724
13,4784
12,4652
11,4408
10,4208
9,3923
8,3647
7,3409
6,3228
5,3056
4,2974
3,2949
2,2874
1,2722
0,2638
23,2589
22,2643
21,2761
20,2939
19,3205
18,3576
17,4002
16,4298
15,4369
14,4493
13,4519
12,4377
11,4151
10,3932
9,3698
8,3455
7,3270
6,3126
5,3052
4,2985
3,2941
2,2876
1,2720
0,2631
23,2591
22,2666
21,2780
20,2928
19,3175
18,3521
17,3929
16,4186
15,4221
14,4285
13,4290.2
12,4200.2
11,3830
10,3683
9,3449
8,3235
7,3089
6,2962
5,2872
4,2844
3,2849
2,2801
1,2647
0,2539
23,2487
22,2527
21,2606
20,2749
19,2950
18,3271
17,3583
16,3809
15,3837
14,3889
13,3848
12,3656
11,3411
10,3212
9,2977
8,2822
7,2716
6,2602
5,2544
4,2489
3,2446
2,2403
1,2418
0,2442
23,2488
22,2557
21,2671
20,2827
19,3020
18,3305
17,3555
16,3743
15,3824
14,3890
13,3913
12,3785
11,3593
10,3418
9,3248
8,3110
7,3014
6,2914
5,2825
4,2771
3,2703
2,2643
1,2613
0,2635
23,2686
22,2761
21,2899
20,3087
19,3368
18,3691
17,3999
16,4247
15,4289
14,4442
13,4608
12,4642
11,4501
10,4344
9,4094
8,3869
7,3664
6,3527
5,3410
4,3325
3,3242
2,3116
1,2958
0,2890
23,2887
22,3000
21,3175
20,3409
19,3735
18,4189
17,4615
16,4926
15,5034
14,5219
13,5357
12,5264
11,5023
10,4822
9,4520
8,4175
7,3900
6,3641
5,3417
4,3262
3,3172
2,3044
1,2882
0,2798
23,2794
22,2903
21,3067
20,3280
19,3577
18,4012
17,4485
16,4848
15,5024
14,5249
13,5335
12,5251
11,5036
10,4831
9,4511
8,4167
7,3841
6,3608
5,3366
4,3218
3,3141
2,3028
1,2861
0,2763
23,2752
22,2844
21,3008
20,3209
19,3501
18,3930
17,4398
16,4774
15,4979
14,5233
13,5341
12,5218
11,4985
10,4738
9,4403
8,4040
7,3472
6,3224
5,3036
4,3144
3,3070
2,2982
1,2825
0,2731
23,2706
22,2779
21,2910
20,3109
19,3398
18,3818
17,4280
16,4661
15,4828
14,5047
13,5104
12,4956
11,4632
10,4414
9,4192
8,3970
7,3808
6,3669
5,3509
4,3315
3,3216
2,3074
1,2926
0,2807
23,2769
22,2834
21,2968
20,3164
19,3454
18,3849
17,4260
16,4589
15,4774
14,4930
13,5095
12,4962
11,4785
10,4649
9,4467
8,4110
7,3709
6,3357
5,3070
4,2788
3,2632
2,2539
1,2545
0,2567
23,2611
22,2692
21,2822
20,3018
19,3281
18,3602
17,3912
16,4217
15,4466
14,4688
13,4787
12,4611
11,4314
10,4029
9,3831
8,3558
7,3309
6,3082
5,2890
4,2731
3,2589
2,2520
1,2507
0,2486
23,2506
22,2566
21,2684
20,2844
19,3088
18,3382
17,3697
16,3929
15,4025
14,4136
13,4139
12,3981
11,3726
10,3514
9,3195
8,3088
7,2950
6,2803
5,2741
4,2743
3,2763
2,2766
1,2632
0,2514
23,2447
22,2471
21,2542
20,2654
19,2831
18,3109
17,3385
16,3530
15,3492
14,3400
13,3322
12,3148
11,2923
10,2745
9,2595
8,2508
7,2476
6,2488
5,2505
4,2594
3,2705
2,2727
1,2623
0,2482
23,2432
22,2437
21,2477
20,2547
19,3294
18,3606
17,3929
16,4183
15,4335
14,4447
13,4533
12,4482
11,4332
10,4154
9,3917
8,3644
7,3434
6,3281
5,3148
4,3072
3,3073
2,3017
1,2878
0,2760
23,2732
22,2810
21,2929
20,3103
19,3240
18,3606
17,3954
16,4206
15,4281
14,4301
13,4299
12,4303
11,4239
10,4138
9,3909
8,3534
7,3289
6,3197
5,3072
4,2985
3,2943
2,2867
1,2766
0,2641
23,2611
22,2689
21,2801
20,2986
19,3247
18,3607
17,4022
16,4317
15,4435
14,4536
13,4612
12,4459
11,4237
10,4016
9,3749
8,3478
7,3243
6,3084
5,2999
4,2924
3,2913
2,2861
1,2738
0,2586
23,2564
22,2606
21,2710
20,2880
19,3123
18,3490
17,3888
16,4182
15,4282
14,4298
13,4393
12,4286
11,4082
10,3896
9,3635
8,3356
7,3160
6,3004
5,2892
4,2848
3,2870
2,2835
1,2696
0,2551
23,2514
22,2553
21,2666
20,2819
19,3044
18,3410
17,3817
16,4072
15,4178
14,4208
13,4258
12,4134
11,3905
10,3696
9,3423
8,3190
7,3003
6,2868
5,2793
4,2773
3,2798
2,2790
1,2634
0,2474
23,2416
22,2445
21,2514
20,2663
19,2865
18,3180
17,3531
16,3814
15,3945
14,3954
13,3955
12,3808
11,3605
10,3396
9,3115
8,2889
7,2678
6,2520
5,2429
4,2400
3,2373
2,2344
1,2383
0,2357
23,2358
22,2417
21,2500
20,2633
19,2800
18,3037
17,3263
16,3421
15,3519
14,3490
13,3454
12,3331
11,3057
10,2812
9,2596
8,2485
7,2408
6,2383
5,2398
4,2430
3,2475
2,2470
1,2470
0,2420
23,2401
22,2425
21,2480
20,2579
19,2708
18,2918
17,3111
16,3183
15,3182
14,3033
13,2955
12,2789
11,2610
10,2499
9,2402
8,2377
7,2387
6,2423
5,2494
4,2588
3,2720
2,2756
1,2601
0,2441
23,2376
22,2374
21,2407
20,2508
19,2635
18,2873
17,3094
16,3211
15,3180
14,3013
13,2897
12,2707
11,2605
10,2729
9,2773
8,2645
7,2546
6,2564
5,2534
4,2617
3,2738
2,2761
1,2635
0,2460
23,2380
22,2395
21,2444
20,2541
19,2681
18,2942
17,3211
16,3381
15,3392
14,3295
13,3172
12,2966
11,2740
10,2572
9,2450
8,2406
7,2381
6,2402
5,2476
4,2594
3,2742
2,2796
1,2640
0,2476
23,2394
22,2392
21,2450
20,2517
19,2657
18,2897
17,3138
16,3271
15,3251
14,3088
13,2974
12,2786
11,2590
10,2468
9,2412
8,2345
7,2343
6,2382
5,2477
4,2572
3,2751
2,2789
1,2649
0,2474
23,2426
22,2456
21,2525
20,2625
19,2788
18,3027
17,3319
16,3471
15,3472
14,3332
13,3243
12,3049
11,3012
10,2989
9,3470
8,2931
7,2923
6,2894
5,2773
4,2755
3,2796
2,2781
1,2616
0,2440
23,2380
22,2377
21,2439
20,2545
19,2706
18,3021
17,3252
16,3474
15,3550
14,3454
13,3398
12,3328
11,3159
10,2911
9,2624
8,2420
7,2306
6,2265
5,2268
4,2297
3,2330
2,2364
1,2364
0,2330
23,2328
22,2362
21,2421
20,2521
19,2657
18,2853
17,3043
16,3187
15,3217
14,3148
13,3063
12,2853
11,2643
10,2466
9,2338
8,2278
7,2269
6,2301
5,2358
4,2403
3,2469
2,2498
1,2478
0,2400
23,2387
22,2419
21,2484
20,2575
19,2704
18,2900
17,3083
16,3164
15,3159
14,3028
13,2910
12,2735
11,2556
10,2445
9,2382
8,2340
7,2378
6,2420
5,2508
4,2642
3,2756
2,2800
1,2632
0,2469
23,2408
22,2442
21,2487
20,2592
19,2754
18,3020
17,3272
16,3417
15,3446
14,3348
13,3327
12,3232
11,3092
10,3001
9,2903
8,2808
7,2756
6,2764
5,2900
4,2928
3,2961
2,2953
1,2775
0,2632
23,2597
22,2649
21,2745
20,2921
19,3103
18,3430
17,3781
16,4017
15,4172
14,4230
13,4234
12,4142
11,3938
10,3738
9,3502
8,3273
7,3125
6,3006
5,2956
4,2967
3,2989
2,2945
1,2752
0,2589
23,2537
22,2581
21,2677
20,2826
19,3018
18,3388
17,3781
16,4103
15,4271
14,4344
13,4397
12,4233
11,4030
10,3860
9,3559
8,3311
7,3093
6,2949
5,2855
4,2846
3,2889
2,2877
1,2721
0,2544
23,2481
22,2518
21,2589
20,2734
19,2958
18,3304
17,3680
16,3957
15,4081
14,4122
13,4139
12,3990
11,3732
10,3530
9,3286
8,3062
7,2931
6,2813
5,2768
4,2789
3,2842
2,2836
1,2672
0,2486
23,2435
22,2458
21,2545
20,2674
19,2896
18,3214
17,3591
16,3861
15,4005
14,4033
13,4031
12,3875
11,3646
10,3455
9,3297
8,3169
7,3049
6,2935
5,2830
4,2752
3,2649
2,2597
1,2648
0,2643
23,2680
22,2797
21,2921
20,3101
19,3339
18,3607
17,3825
16,3984
15,4092
14,4109
13,4099
12,3928
11,3700
10,3462
9,3259
8,3083
7,2944
6,2811
5,2750
4,2674
3,2610
2,2565
1,2532
0,2489
23,2498
22,2576
21,2666
20,2815
19,2992
18,3275
17,3506
16,3661
15,3722
14,3659
13,3671
12,3618
11,3430
10,3291
9,3127
8,2961
7,2865
6,2798
5,2791
4,2824
3,2863
2,2870
1,2682
0,2530
23,2471
22,2506
21,2582
20,2694
19,2901
18,3190
17,3509
16,3727
15,3793
14,3710
13,3706
12,3598
11,3430
10,3236
9,3044
8,2852
7,2753
6,2687
5,2695
4,2813
3,2860
2,2847
1,2652
0,2483
23,2418
22,2437
21,2519
20,2638
19,2825
18,3115
17,3422
16,3638
15,3693
14,3608
13,3527
12,3358
11,3327
10,3199
9,3052
8,2894
7,2742
6,2687
5,2678
4,2748
3,2847
2,2847
1,2665
0,2481
23,2422
22,2442
21,2518
20,2613
19,2772
18,3051
17,3336
16,3543
15,3666
14,2633
13,3542
12,3332
11,3157
10,3041
9,2907
8,2793
7,2753
6,2726
5,2777
4,2878
3,2907
2,2879
1,2639
0,2487
23,2420
22,2391
21,2478
20,2574
19,2699
18,2960
17,3248
16,3419
15,3480
14,3372
13,3340
12,3140
11,3005
10,2803
9,2635
8,2506
7,2470
6,2494
5,2539
4,2562
3,2463
2,2401
1,2373
0,2318
23,2333
22,2384
21,2481
20,2602
19,2682
18,2905
17,3146
16,3289
15,3338
14,3219
13,3088
12,2900
11,2724
10,2648
9,2541
8,2483
7,2500
6,2545
5,2655
4,2830
3,2955
2,2945
1,2683
0,2487
23,2405
22,2382
21,2425
20,2499
19,2605
18,2856
17,3092
16,3212
15,3252
14,3060
13,2895
12,2703
11,2508
10,2407
9,2339
8,2328
7,2348
6,2439
5,2553
4,2740
3,2937
2,2993
1,2750
0,2521
23,2426
22,2404
21,2422
20,2501
19,2600
18,2814
17,3048
16,3161
15,3182
14,2983
13,2779
12,2556
11,2416
10,2331
9,2280
8,2307
7,2377
6,2480
5,2647
4,2870
3,3076
2,3064
1,2755
0,2531
23,2422
22,2410
21,2441
20,2476
19,2622
18,2832
17,3070
16,3199
15,3229
14,3038
13,2843
12,2635
11,2469
10,2378
9,2353
8,2347
7,2388
6,2452
5,2575
4,2727
3,2916
2,2933
1,2661
0,2441
23,2345
22,2334
21,2356
20,2423
19,2541
18,2700
17,2964
16,3097
15,3132
14,2959
13,2755
12,2561
11,2425
10,2282
9,2196
8,2186
7,2211
6,2274
5,2336
4,2415
3,2461
2,2442
1,2395
0,2328
23,2323
22,2338
21,2395
20,2469
19,2606
18,2786
17,2963
16,3053
15,3109
14,2974
13,2800
12,2645
11,2525
10,2538
9,2489
8,2540
7,2475
6,2497
5,2572
4,2543
3,2560
2,2533
1,2439
0,2354
23,2355
22,2383
21,2440
20,2551
19,2662
18,2867
17,3052
16,3161
15,3227
14,3157
13,3040
12,2844
11,2687
10,2653
9,2563
8,2516
7,2528
6,2576
5,2679
4,2823
3,2904
2,2869
1,2620
0,2445
23,2366
22,2372
21,2414
20,2496
19,2716
18,2938
17,3165
16,3300
15,3345
14,3225
13,3107
12,3011
11,2952
10,2815
9,2710
8,2789
7,2696
6,2799
5,2725
4,2768
3,2830
2,2832
1,2600
0,2406
23,2338
22,2349
21,2389
20,2473
19,2618
18,2854
17,3107
16,3242
15,3303
14,3141
13,3008
12,2816
11,2650
10,2644
9,2539
8,2481
7,2473
6,2513
5,2615
4,2744
3,2917
2,2941
1,2672
0,2453
23,2384
22,2362
21,2396
20,2466
19,2592
18,2821
17,3050
16,3185
15,3232
14,3069
13,2866
12,2684
11,2503
10,2402
9,2349
8,2342
7,2392
6,2473
5,2611
4,2842
3,3100
2,3135
1,2840
0,2583
23,2474
22,2439
21,2461
20,2508
19,2678
18,2890
17,3086
16,3193
15,3222
14,3046
13,2775
12,2526
11,7378
10,7104
9,6709
8,6315
7,5943
6,5433
5,4959
4,4533
3,4162
2,3853
1,3697
0,3701
23,3752
22,3880
21,4138
20,4433
19,4831
18,5385
17,6001
16,6472
15,6848
14,7179
13,7347
12,7287
11,7044
10,6701
9,6269
8,5798
7,5378
6,4941
5,4489
4,4133
3,3841
2,3618
1,3449
0,3435
23,3479
22,3607
21,3840
20,4118
19,4494
18,4983
17,5478
16,5860
15,6154
14,6499
13,6605
12,6465
11,6205
10,5855
9,5416
8,4986
7,4556
6,4167
5,3787
4,3443
3,3156
2,2972
1,2939
0,3046
23,3136
22,3303
21,3500
20,3757
19,4068
18,4492
17,4959
16,5334
15,5660
14,6001
13,6135
12,6038
11,5826
10,5545
9,5191
8,4796
7,4440
6,4064
5,3726
4,3405
3,3148
2,2962
1,2913
0,3003
23,3123
22,3255
21,3475
20,3724
19,4039
18,4447
17,4884
16,5269
15,5620
14,5915
13,6061
12,5994
11,5773
10,5472
9,5111
8,4676
7,4348
6,4001
5,3694
4,3469
3,3261
2,3076
1,2929
0,2906
23,2908
22,3009
21,3171
20,3410
19,3737
18,4202
17,4717
16,5129
15,5480
14,5755
13,5836
12,5727
11,5506
10,5167
9,4836
8,4451
7,4124
6,3767
5,3491
4,3277
3,3112
2,2976
1,2821
0,2782
23,2750
22,2842
21,3009
20,3237
19,3543
18,3968
17,4427
16,4816
15,5112
14,5333
13,5385
12,5262
11,5016
10,4694
9,4337
8,4032
7,3764
