Time,Demand
"('0.0',)",2439.76784402
"('1.0',)",2449.86159992
"('2.0',)",2493.39351901
"('3.0',)",2539.5652891
"('4.0',)",2565.31029567
"('5.0',)",2702.73943436
"('6.0',)",2838.866541
"('7.0',)",2964.8373541
"('8.0',)",3147.34486405
"('9.0',)",3312.0400559
"('10.0',)",3568.90919331
"('11.0',)",3869.18879233
"('12.0',)",4073.69623518
"('13.0',)",4108.14827128
"('14.0',)",4146.23131583
"('15.0',)",4041.06688638
"('16.0',)",3876.78890198
"('17.0',)",3575.52903072
"('18.0',)",3236.49751349
"('19.0',)",3045.9294678
"('20.0',)",2808.89294233
"('21.0',)",2680.68946105
"('22.0',)",2467.18824889
"('23.0',)",2390.42822827
