Time,Demand
1,5078
0,4987
23,5029
22,5128
21,5184
20,5468
19,5803
18,6220
17,6513
16,6626
15,6549
14,6201
13,6065
12,5969
11,5974
10,5968
9,5903
8,5729
7,5739
6,5669
5,5608
4,5597
3,5445
2,5193
1,5127
0,5036
23,5066
22,5186
21,5204
20,5300
19,5664
18,5949
17,6146
16,6351
15,6402
14,6272
13,5953
12,5913
11,5840
10,5861
9,5873
8,5839
7,5832
6,5668
5,5619
4,5605
3,5486
2,5235
1,5203
0,5191
23,5151
22,5416
21,5401
20,5538
19,5761
18,5958
17,6280
16,6370
15,6290
14,6257
13,6059
12,5855
11,5655
10,5580
9,5558
8,5551
7,5524
6,5513
5,5535
4,5518
3,5452
2,5421
1,5247
0,5154
23,5024
22,5038
21,5079
20,5667
19,5930
18,6329
17,6658
16,6888
15,6490
14,6403
13,6369
12,6265
11,6178
10,6178
9,5916
8,5837
7,5787
6,5811
5,5677
4,5659
3,5610
2,5400
1,5301
0,5155
23,5085
22,5093
21,5079
20,5171
19,5393
18,5776
17,5932
16,5936
15,5856
14,5827
13,5799
12,5704
11,5584
10,5440
9,5367
8,5204
7,5169
6,5146
5,5156
4,5263
3,5214
2,4990
1,4926
0,4933
23,4956
22,5079
21,5147
20,5384
19,5677
18,5754
17,5980
16,6079
15,5989
14,5878
13,5887
12,5950
11,5966
10,5829
9,5748
8,5676
7,5684
6,5634
5,5506
4,5557
3,5460
2,5342
1,5463
0,5495
23,5476
22,5502
21,5746
20,5706
19,5966
18,6100
17,6191
16,6240
15,6358
14,6377
13,6282
12,6319
11,6292
10,6253
9,6018
8,5877
7,5861
6,5928
5,5868
4,5855
3,5689
2,5530
1,5408
0,5342
23,5275
22,5286
21,5364
20,5543
19,5686
18,6041
17,6095
16,6485
15,6439
14,6363
13,6628
12,6423
11,6454
10,6438
9,6380
8,6259
7,6040
6,5782
5,5662
4,5744
3,5561
2,5261
1,5327
0,5248
23,5215
22,5323
21,5315
20,5484
19,5673
18,6012
17,6499
16,6821
15,6923
14,6914
13,6719
12,6501
11,6301
10,5944
9,5564
8,5548
7,5460
6,5297
5,5310
4,5471
3,5469
2,5380
1,5370
0,5220
23,5146
22,5343
21,5490
20,5654
19,5838
18,6112
17,6369
16,6660
15,6718
14,6772
13,6741
12,6719
11,6448
10,6160
9,5804
8,5655
7,5281
6,5274
5,5195
4,5367
3,5240
2,5112
1,5121
0,5088
23,5211
22,5222
21,5619
20,5657
19,5815
18,6021
17,6178
16,6244
15,6231
14,6205
13,6064
12,5811
11,5452
10,5268
9,5226
8,5208
7,5132
6,5082
5,5029
4,4963
3,4904
2,4805
1,4660
0,4645
23,4737
22,4808
21,4936
20,5165
19,5369
18,5525
17,5828
16,6117
15,6191
14,6092
13,6085
12,5792
11,5647
10,5406
9,5154
8,4864
7,4709
6,4581
5,4554
4,4441
3,4385
2,4259
1,4269
0,4387
23,4388
22,4428
21,4648
20,4778
19,4886
18,5264
17,5411
16,5441
15,5627
14,5757
13,5792
12,5536
11,5291
10,5205
9,5173
8,4847
7,4691
6,4770
5,4732
4,4474
3,4514
2,4292
1,4370
0,4558
23,4540
22,4631
21,4674
20,4683
19,4699
18,4894
17,5038
16,5105
15,4971
14,4874
13,4880
12,4603
11,4693
10,4458
9,4287
8,4165
7,4198
6,4256
5,4223
4,4273
3,4217
2,4162
1,3927
0,3848
23,3749
22,3863
21,3879
20,3852
19,4013
18,4097
17,4119
16,4361
15,4272
14,4071
13,4182
12,4200
11,4114
10,4086
9,4113
8,4099
7,4132
6,4223
5,4188
4,4154
3,4196
2,4235
1,4024
0,3934
23,4035
22,3889
21,3860
20,3898
19,4865
18,5023
17,4812
16,5061
15,5018
14,4905
13,4721
12,4593
11,4523
10,4339
9,4439
8,4293
7,4255
6,4203
5,4183
4,4149
3,4206
2,4229
1,4072
0,4070
23,4156
22,4191
21,4511
20,4698
19,4802
18,4913
17,4960
16,5365
15,5416
14,5390
13,5186
12,4754
11,4686
10,4467
9,4400
8,4361
7,4346
6,4349
5,4357
4,4365
3,4275
2,4295
1,4206
0,4339
23,4182
22,4245
21,4648
20,4774
19,4931
18,5091
17,5263
16,5543
15,5437
14,5222
13,5032
12,4796
11,4555
10,4381
9,4348
8,4213
7,4209
6,4172
5,4183
4,4185
3,4299
2,4390
1,4364
0,4463
23,4305
22,4375
21,4725
20,4857
19,4847
18,5225
17,5432
16,5473
15,5495
14,5285
13,4912
12,4899
11,4728
10,4647
9,4628
8,4443
7,4399
6,4357
5,4466
4,4655
3,4569
2,4417
1,4563
0,4427
23,4426
22,4454
21,4536
20,4676
19,4794
18,5105
17,5363
16,5419
15,5431
14,5404
13,5139
12,4945
11,4868
10,4767
9,4633
8,4425
7,4492
6,4452
5,4570
4,4504
3,4316
2,4353
1,4328
0,4321
23,4393
22,4532
21,4635
20,4828
19,4796
18,5008
17,5199
16,5345
15,5262
14,5048
13,4738
12,4714
11,4734
10,4546
9,4508
8,4381
7,4382
6,4337
5,4327
4,4343
3,4209
2,4190
1,4097
0,4129
23,4108
22,4111
21,4104
20,4230
19,4477
18,4722
17,4904
16,4845
15,4569
14,4332
13,4463
12,4511
11,4450
10,4424
9,4426
8,4414
7,4398
6,4466
5,4530
4,4482
3,4369
2,4233
1,4003
0,3948
23,3857
22,3824
21,3837
20,3976
19,3962
18,4107
17,4527
16,4653
15,4468
14,4454
13,4405
12,4234
11,4259
10,4437
9,4507
8,4647
7,4666
6,4704
5,4898
4,5006
3,4847
2,4717
1,4397
0,4430
23,4341
22,4332
21,4160
20,4467
19,4527
18,4634
17,4598
16,4746
15,4698
14,4356
13,4432
12,4354
11,4275
10,4171
9,4096
8,4151
7,4261
6,4125
5,4058
4,4105
3,4223
2,4289
1,4176
0,4004
23,4035
22,4094
21,4122
20,4207
19,4559
18,4821
17,4916
16,4829
15,4774
14,4487
13,4538
12,4704
11,4392
10,4169
9,4152
8,4086
7,4091
6,4164
5,4293
4,4139
