Time,Demand
"('0.0',)",4319.8977664
"('1.0',)",4320.8279113
"('2.0',)",4303.60236583
"('3.0',)",4410.45282898
"('4.0',)",4352.39472448
"('5.0',)",4602.89447483
"('6.0',)",4534.04267706
"('7.0',)",4680.5593073
"('8.0',)",4977.29786777
"('9.0',)",5187.24351766
"('10.0',)",5276.95411072
"('11.0',)",5704.69168625
"('12.0',)",5792.0
"('13.0',)",6141.56258323
"('14.0',)",6074.79139687
"('15.0',)",6092.01545712
"('16.0',)",6054.31545729
"('17.0',)",5762.19637955
"('18.0',)",5662.90795878
"('19.0',)",5302.73044117
"('20.0',)",5073.77056913
"('21.0',)",5023.44662272
"('22.0',)",4727.86564283
"('23.0',)",4656.78978503
