Time,Demand
23,3403
22,3425
21,3546
20,3414
19,3084
18,2724
17,2423
16,2160
15,2061
14,1872
13,1897
12,2097
11,2332
10,2534
9,2725
8,2828
7,3026
6,3231
5,3311
4,3209
3,3217
2,3357
1,3433
0,3456
23,3437
22,3349
21,3220
20,3073
19,2863
18,2659
17,2527
16,2495
15,2612
14,2528
13,2391
12,2638
11,2749
10,2750
9,2611
8,2655
7,2664
6,2743
5,2860
4,3055
3,3078
2,3194
1,3057
0,2946
23,2961
22,2927
21,2684
20,2660
19,2657
18,2458
17,2584
16,2553
15,2613
14,2476
13,2230
12,2453
11,2522
10,2599
9,2314
8,2031
7,2296
6,2388
5,2598
4,2716
3,2749
2,2765
1,2508
0,2503
23,2463
22,2462
21,2358
20,2328
19,2139
18,1834
17,1540
16,1495
15,1187
14,966
13,907
12,1000
11,1176
10,1193
9,1410
8,1697
7,1985
6,2089
5,2246
4,2438
3,2463
2,2410
1,2489
0,2513
23,2534
22,2689
21,2737
20,2488
19,2113
18,1663
17,1622
16,1900
15,1915
14,1536
13,1542
12,1778
11,1886
10,1882
9,1951
8,1948
7,2081
6,2267
5,2412
4,2500
3,2705
2,2847
1,2865
0,2912
23,2905
22,2803
21,2791
20,2763
19,2337
18,2223
17,2090
16,1931
15,1957
14,1527
13,1513
12,1440
11,1372
10,1374
9,1650
8,1980
7,2325
6,2481
5,2815
4,2991
3,3035
2,2952
1,3369
0,3314
23,3281
22,3335
21,3307
20,3310
19,3061
18,2753
17,2411
16,2370
15,2026
14,1791
13,1721
12,1655
11,1795
10,1852
9,2109
8,2352
7,2564
6,2834
5,3116
4,3234
3,3097
2,2998
1,3145
0,3111
23,3034
22,3020
21,3026
20,3310
19,2931
18,2827
17,2522
16,2227
15,2064
14,1850
13,1623
12,2040
11,2212
10,1821
9,1975
8,2080
7,2243
6,2420
5,2507
4,2453
3,2539
2,2754
1,2860
0,2907
23,3087
22,3229
21,3098
20,2818
19,2585
18,2490
17,2226
16,2185
15,1886
14,1292
13,1052
12,1015
11,1062
10,1096
9,1265
8,1598
7,1848
6,2085
5,2265
4,2490
3,2563
2,2405
1,2386
0,2362
23,2326
22,2363
21,2441
20,2454
19,2277
18,2105
17,1902
16,1749
15,1637
14,1283
13,1059
12,1048
11,1223
10,1131
9,1312
8,1452
7,1679
6,1901
5,2110
4,2257
3,2375
2,2324
1,2426
0,2407
23,2322
22,2287
21,2276
20,2109
19,1880
18,1791
17,1814
16,1687
15,1534
14,1118
13,909
12,933
11,1118
10,1230
9,1328
8,1490
7,1750
6,1906
5,2129
4,2295
3,2371
2,2277
1,2321
0,2314
23,2389
22,2581
21,2297
20,2299
19,2137
18,1920
17,1773
16,1535
15,1561
14,1377
13,1140
12,1031
11,1074
10,914
9,1119
8,1545
7,1674
6,1974
5,2201
4,2326
3,2383
2,2617
1,2648
0,2561
23,2420
22,2597
21,2438
20,2153
19,2036
18,1692
17,1552
16,1455
15,1441
14,1169
13,1127
12,1048
11,1034
10,1026
9,1269
8,1492
7,1665
6,1977
5,2312
4,2441
3,2567
2,2532
1,2628
0,2582
23,2517
22,2539
21,2596
20,2668
19,2481
18,2417
17,2194
16,2138
15,1930
14,1708
13,1391
12,1328
11,1228
10,1187
9,1215
8,1337
7,1766
6,1874
5,2086
4,2233
3,2317
2,2293
1,2321
0,2321
23,2278
22,2201
21,2351
20,2376
19,2194
18,2158
17,2002
16,1775
15,1440
14,1146
13,1082
12,1140
11,1190
10,1269
9,1373
8,1577
7,1871
6,2145
5,2376
4,2612
3,2684
2,2481
1,2469
0,2548
23,2613
22,2535
21,2927
20,2856
19,2728
18,2480
17,2079
16,1947
15,1756
14,1548
13,1568
12,1605
11,1676
10,1693
9,1644
8,1814
7,1964
6,2285
5,2365
4,2609
3,2651
2,2432
1,2615
0,2663
23,2806
22,2713
21,2570
20,2559
19,2565
18,2344
17,2257
16,2074
15,1918
14,1515
13,1258
12,1466
11,1325
10,1443
9,1644
8,1866
7,2087
6,2354
5,2566
4,2792
3,2891
2,2733
1,2591
0,2577
23,2542
22,2409
21,2411
20,2438
19,2153
18,1981
17,1763
16,1516
15,1373
14,1225
13,1216
12,1364
11,1484
10,1639
9,1859
8,2108
7,2309
6,2418
5,2517
4,2601
3,2632
2,2539
1,2361
0,2305
23,2283
22,2239
21,2076
20,2037
19,1885
18,1771
