Time,Demand
13,5078
12,4987
11,5029
10,5128
09,5184
08,5468
07,5803
06,6220
05,6513
04,6626
03,6549
02,6201
01,6065
00,5969
23,5974
22,5968
21,5903
20,5729
19,5739
18,5669
17,5608
16,5597
15,5445
14,5193
13,5127
12,5036
11,5066
10,5186
09,5204
08,5300
07,5664
06,5949
05,6146
04,6351
03,6402
02,6272
01,5953
00,5913
23,5840
22,5861
21,5873
20,5839
19,5832
18,5668
17,5619
16,5605
15,5486
14,5235
13,5203
12,5191
11,5151
10,5416
09,5401
08,5538
07,5761
06,5958
05,6280
04,6370
03,6290
02,6257
01,6059
00,5855
23,5655
22,5580
21,5558
20,5551
19,5524
18,5513
17,5535
16,5518
15,5452
14,5421
13,5247
12,5154
11,5024
10,5038
09,5079
08,5667
07,5930
06,6329
05,6658
04,6888
03,6490
02,6403
01,6369
00,6265
23,6178
22,6178
21,5916
20,5837
19,5787
18,5811
17,5677
16,5659
15,5610
14,5400
13,5301
12,5155
11,5085
10,5093
09,5079
08,5171
07,5393
06,5776
05,5932
04,5936
03,5856
02,5827
01,5799
00,5704
23,5584
22,5440
21,5367
20,5204
19,5169
18,5146
17,5156
16,5263
15,5214
14,4990
13,4926
12,4933
11,4956
10,5079
09,5147
08,5384
07,5677
06,5754
05,5980
04,6079
03,5989
02,5878
01,5887
00,5950
23,5966
22,5829
21,5748
20,5676
19,5684
18,5634
17,5506
16,5557
15,5460
14,5342
13,5463
12,5495
11,5476
10,5502
09,5746
08,5706
07,5966
06,6100
05,6191
04,6240
03,6358
02,6377
01,6282
00,6319
23,6292
22,6253
21,6018
20,5877
19,5861
18,5928
17,5868
16,5855
15,5689
14,5530
13,5408
12,5342
11,5275
10,5286
09,5364
08,5543
07,5686
06,6041
05,6095
04,6485
03,6439
02,6363
01,6628
00,6423
23,6454
22,6438
21,6380
20,6259
19,6040
18,5782
17,5662
16,5744
15,5561
14,5261
13,5327
12,5248
11,5215
10,5323
09,5315
08,5484
07,5673
06,6012
05,6499
04,6821
03,6923
02,6914
01,6719
00,6501
23,6301
22,5944
21,5564
20,5548
19,5460
18,5297
17,5310
16,5471
15,5469
14,5380
13,5370
12,5220
11,5146
10,5343
09,5490
08,5654
07,5838
06,6112
05,6369
04,6660
03,6718
02,6772
01,6741
00,6719
23,6448
22,6160
21,5804
20,5655
19,5281
18,5274
17,5195
16,5367
15,5240
14,5112
13,5121
12,5088
11,5211
10,5222
09,5619
08,5657
07,5815
06,6021
05,6178
04,6244
03,6231
02,6205
01,6064
00,5811
23,5452
22,5268
21,5226
20,5208
19,5132
18,5082
17,5029
16,4963
15,4904
14,4805
13,4660
12,4645
11,4737
10,4808
09,4936
08,5165
07,5369
06,5525
05,5828
04,6117
03,6191
02,6092
01,6085
00,5792
23,5647
22,5406
21,5154
20,4864
19,4709
18,4581
17,4554
16,4441
15,4385
14,4259
13,4269
12,4387
11,4388
10,4428
09,4648
08,4778
07,4886
06,5264
05,5411
04,5441
03,5627
02,5757
01,5792
00,5536
23,5291
22,5205
21,5173
20,4847
19,4691
18,4770
17,4732
16,4474
15,4514
14,4292
13,4370
12,4558
11,4540
10,4631
09,4674
08,4683
07,4699
06,4894
05,5038
04,5105
03,4971
02,4874
01,4880
00,4603
23,4693
22,4458
21,4287
20,4165
19,4198
18,4256
17,4223
16,4273
15,4217
14,4162
13,3927
12,3848
11,3749
10,3863
09,3879
08,3852
07,4013
06,4097
05,4119
04,4361
03,4272
02,4071
01,4182
00,4200
23,4114
22,4086
21,4113
20,4099
19,4132
18,4223
17,4188
16,4154
15,4196
14,4235
13,4024
12,3934
11,4035
10,3889
09,3860
08,3898
07,4865
06,5023
05,4812
04,5061
03,5018
02,4905
01,4721
00,4593
23,4523
22,4339
21,4439
20,4293
19,4255
18,4203
17,4183
16,4149
15,4206
14,4229
13,4072
12,4070
11,4156
10,4191
09,4511
08,4698
07,4802
06,4913
05,4960
04,5365
03,5416
02,5390
01,5186
00,4754
23,4686
22,4467
21,4400
20,4361
19,4346
18,4349
17,4357
16,4365
15,4275
14,4295
13,4206
12,4339
11,4182
10,4245
09,4648
08,4774
07,4931
06,5091
05,5263
04,5543
03,5437
02,5222
01,5032
00,4796
23,4555
22,4381
21,4348
20,4213
19,4209
18,4172
17,4183
16,4185
15,4299
14,4390
13,4364
12,4463
11,4305
10,4375
09,4725
08,4857
07,4847
06,5225
05,5432
04,5473
03,5495
02,5285
01,4912
00,4899
23,4728
22,4647
21,4628
20,4443
19,4399
18,4357
17,4466
16,4655
15,4569
14,4417
13,4563
