Time,Demand
"('0.0',)",4327.56203329
"('1.0',)",4237.49611355
"('2.0',)",4279.02294459
"('3.0',)",4118.75064774
"('4.0',)",3929.83507739
"('5.0',)",3697.27458877
"('6.0',)",3429.74479335
"('7.0',)",3225.01215466
"('8.0',)",3009.24765552
"('9.0',)",2706.03035925
"('10.0',)",2570.36511286
"('11.0',)",2550.69594702
"('12.0',)",2399.78661902
"('13.0',)",2456.9807438
"('14.0',)",2500.4136602
"('15.0',)",2473.24774682
"('16.0',)",2566.17074185
"('17.0',)",2703.81407794
"('18.0',)",2844.36172837
"('19.0',)",3046.29762897
"('20.0',)",3125.09356219
"('21.0',)",3331.37196704
"('22.0',)",3409.44012115
"('23.0',)",3565.67234803
