Time,Demand
23,2865
22,2938
21,3070
20,3249
19,3485
18,3823
17,4232
16,4513
15,4764
14,4839
13,4986
12,4956
11,4773
10,4544
9,4265
8,4015
7,3808
6,3618
5,3417
4,3278
3,3190
2,3134
1,2993
0,2840
23,2795
22,2850
21,2960
20,3147
19,3371
18,3739
17,4148
16,4465
15,4730
14,4810
13,4928
12,4883
11,4718
10,4466
9,4215
8,3936
7,3733
6,3553
5,3357
4,3218
3,3170
2,3129
1,2978
0,2837
23,2807
22,2853
21,2973
20,3135
19,3351
18,3682
17,4056
16,4380
15,4678
14,4759
13,4894
12,4838
11,4633
10,4400
9,4150
8,3888
7,3712
6,3514
5,3325
4,3224
3,3164
2,3136
1,2980
0,2835
23,2799
22,2851
21,2962
20,3111
19,3344
18,3655
17,4020
16,4348
15,4618
14,4750
13,4875
12,4841
11,4651
10,4419
9,4197
8,3947
7,3702
6,3447
5,3212
4,2994
3,2837
2,2761
1,2837
0,2841
23,2883
22,2974
21,3111
20,3276
19,3514
18,3796
17,4064
16,4329
15,4568
14,4702
13,4841
12,4787
11,4617
10,4378
9,4114
8,3890
7,3659
6,3444
5,3236
4,3071
3,2911
2,2832
1,2862
0,2838
23,2878
22,2978
21,3123
20,3316
19,3555
18,3873
17,4174
16,4407
15,4637
14,4732
13,4867
12,4868
11,4711
10,4497
9,4274
8,4052
7,3912
6,3777
5,3639
4,3532
3,3429
2,3334
1,3201
0,3070
23,3057
22,3132
21,3275
20,3481
19,3761
18,4133
17,4589
16,4946
15,5216
14,5252
13,5421
12,5440
11,5330
10,5187
9,5020
8,4818
7,4645
6,4393
5,4215
4,4044
3,3915
2,3803
1,3702
0,3585
23,3588
22,3693
21,3872
20,4102
19,4380
18,4771
17,5195
16,5559
15,5847
14,5920
13,6111
12,6161
11,6058
10,5879
9,5592
8,5258
7,4926
6,4650
5,4336
4,4142
3,3979
2,3875
1,3754
0,3637
23,3645
22,3750
21,3923
20,4146
19,4450
18,4873
17,5339
16,5749
15,6099
14,6247
13,6489
12,6543
11,6451
10,6212
9,5878
8,5492
7,5172
6,4790
5,4447
4,4190
3,4007
2,3874
1,3756
0,3622
23,3609
22,3703
21,3867
20,4109
19,4378
18,4807
17,5274
16,5642
15,5971
14,6112
13,6379
12,6390
11,6248
10,6000
9,5693
8,5374
7,5130
6,4805
5,4501
4,4249
3,4052
2,3891
1,3759
0,3597
23,3577
22,3633
21,3754
20,3948
19,4200
18,4551
17,4947
16,5271
15,5556
14,5735
13,5915
12,5873
11,5729
10,5470
9,5182
8,4839
7,4500
6,4154
5,3812
4,3510
3,3268
2,3142
1,3174
0,3197
23,3227
22,3336
21,3478
20,3638
19,3878
18,4138
17,4416
16,4593
15,4745
14,4777
13,4858
12,4936
11,4867
10,4799
9,4617
8,4397
7,4173
6,3943
5,3770
4,3615
3,3444
2,3356
1,3374
0,3343
23,3364
22,3449
21,3558
20,3721
19,3942
18,4247
17,4541
16,4775
15,4988
14,5001
13,5159
12,5218
11,5108
10,4971
9,4779
8,4600
7,4382
6,4298
5,4136
4,4003
3,3856
2,3778
1,3644
0,3495
23,3481
22,3559
21,3709
20,3921
19,4220
18,4576
17,4987
16,5354
15,5649
14,5776
13,6024
12,6125
11,6000
10,5765
9,5486
8,5136
7,4874
6,4587
5,4318
4,4080
3,3945
2,3834
1,3689
0,3550
23,3527
22,3615
21,3772
20,3992
19,4289
18,4689
17,5143
16,5524
15,5862
14,6029
13,6264
12,6306
11,6186
10,5956
9,5647
8,5316
7,5021
6,4684
5,4419
4,4160
3,3991
2,3879
1,3785
0,3672
23,3685
22,3786
21,3938
20,4161
19,4462
18,4878
17,5338
16,5698
15,6026
14,6131
13,6338
12,6387
11,6238
10,6033
9,5735
8,5379
7,5099
6,4738
5,4409
4,4132
3,3938
2,3776
1,3679
0,3518
23,3518
22,3591
21,3747
20,3944
19,4233
18,4626
17,5048
16,5356
15,5736
14,5844
13,6035
12,6071
11,5927
10,5664
9,5333
8,4971
7,4657
6,4324
5,3981
4,3722
3,3516
2,3415
1,3459
0,3464
23,3493
22,3601
21,3740
20,3945
19,4221
18,4550
17,4886
16,5141
15,5381
14,5496
13,5712
12,5771
11,5627
10,5429
9,5181
8,4902
7,4611
6,4263
5,3930
4,3647
3,3433
2,3350
1,3395
0,3411
23,3462
22,3569
21,3702
20,3887
19,4151
18,4480
17,4808
16,5050
15,5303
14,5401
13,5600
12,5627
11,5708
10,5659
9,5469
8,5215
7,4908
6,4544
5,4263
4,4017
3,3792
2,3694
1,3749
0,3754
23,3821
22,3943
21,4095
20,4280
19,4576
18,4968
17,5298
16,5590
15,5941
14,6161
13,6442
12,6462
11,6303
10,6017
9,5662
8,5296
7,5005
6,4674
5,4339
4,4058
3,3866
2,3728
1,3615
0,3523
23,3527
22,3623
21,3778
20,4005
19,4306
18,4697
17,5110
16,5505
15,5879
14,6077
13,6304
12,6338
11,6202
10,5967
9,5692
8,5373
7,5147
6,4878
5,4558
4,4282
3,4071
2,3918
1,3821
0,3714
23,3729
22,3852
21,4040
20,4280
19,4601
18,5001
17,5488
16,5890
15,6230
14,6384
13,6642
12,6656
11,6500
10,6240
9,5874
8,5589
7,5334
6,5013
5,4675
4,4403
3,4197
2,4024
1,3931
0,3813
23,3835
22,3955
21,4124
20,4350
19,4676
18,5137
17,5613
16,5984
15,6298
14,6448
13,6654
12,6669
11,6521
10,6267
9,5947
8,5628
7,5365
6,5050
5,4706
4,4443
3,4213
2,4068
1,3952
0,3851
23,3878
22,4006
21,4164
20,4409
19,4714
18,5198
17,5721
16,6125
15,6386
14,6493
13,6686
12,6705
11,6588
10,6386
9,6105
8,5799
7,5540
6,5199
5,4859
4,4564
3,4384
2,4207
1,4096
0,3979
23,3972
22,4061
21,4209
20,4432
19,4752
18,5170
17,5623
16,5990
15,6254
14,6482
13,6635
12,6544
11,6375
10,6179
9,5906
8,5571
7,5217
6,4809
5,4408
4,4044
3,3758
2,3630
1,3703
0,3725
23,3777
22,3905
21,4071
20,4317
19,4597
18,4891
17,5224
16,5574
15,5907
14,6178
13,6566
12,6617
11,6520
10,6277
9,5953
8,5599
7,5234
6,4827
5,4420
4,4061
3,3722
2,3520
1,3539
0,3543
23,3611
22,3750
21,3918
20,4175
19,4489
18,4907
17,5337
16,5687
15,6013
14,6213
13,6428
12,6430
11,6247
10,6006
9,5673
8,5314
7,5025
6,4684
5,4389
4,4102
3,3923
2,3761
1,3627
0,3509
23,3504
22,3598
21,3733
20,3960
19,4255
18,4630
17,5069
16,5446
15,5698
14,5836
13,6037
12,5990
11,5737
10,5458
9,5177
8,4889
7,4644
6,4420
5,4196
4,4022
3,3907
2,3732
1,3600
0,3468
23,3436
22,3527
21,3685
20,3900
19,4197
18,4634
17,5185
16,5651
15,6008
14,6172
13,6314
12,6375
11,6219
10,5965
9,5675
8,5360
7,5092
6,4810
5,4511
4,4285
3,4090
2,3935
1,3807
0,3677
23,3657
22,3756
21,3897
20,4100
19,4411
18,4840
17,5346
16,5757
15,6043
14,6214
13,6421
12,6367
11,6195
10,5925
9,5599
8,5235
7,4968
6,4617
5,4268
4,4022
3,3848
2,3685
1,3566
0,3448
23,3457
22,3547
21,3682
20,3883
19,4190
18,4635
17,5091
16,5411
15,5607
14,5705
13,5833
12,5777
11,5595
10,5333
9,5011
8,4660
7,4464
6,4549
5,4366
4,4097
3,3948
2,3794
1,3650
0,3519
23,3471
22,3543
21,3687
20,3879
19,4154
18,4512
17,4836
16,5104
15,5249
14,5353
13,5478
12,5375
11,5104
10,4798
9,4567
8,4384
7,4197
6,4010
5,3825
4,3607
3,3410
2,3286
1,3371
0,3413
23,3505
22,3639
21,3807
20,4039
19,4308
18,4614
17,4949
16,5262
15,5524
14,5731
13,5875
12,5807
11,5645
10,5421
9,5104
8,4800
7,4478
6,4166
5,3850
4,3551
3,3293
2,3108
1,3130
0,3128
23,3190
22,3302
21,3466
20,3688
19,3979
18,4377
17,4766
16,5123
15,5453
14,5717
13,5909
12,5871
11,5672
10,5385
9,5065
8,4705
7,4410
6,4092
5,3816
4,3597
3,3461
2,3324
1,3202
0,3100
23,3102
22,3166
21,3318
20,3532
19,3822
18,4253
17,4723
16,5100
15,5383
14,5577
13,5709
12,5620
11,5399
10,5107
9,4829
8,4526
7,4310
6,4040
5,3803
4,3641
3,3508
2,3374
1,3236
0,3134
23,3134
22,3204
21,3357
20,3565
19,3850
18,4274
17,4742
16,5093
15,5304
14,5451
13,5550
12,5460
11,5175
10,4884
9,4599
8,4334
7,4159
6,3946
5,3732
4,3567
3,3437
2,3296
1,3163
0,3037
23,3015
22,3076
21,3215
20,3409
19,3699
18,4143
17,4605
16,4955
15,5202
14,5341
13,5479
12,5391
11,5183
10,4970
9,4721
8,4506
7,4376
6,4191
5,3998
4,3850
3,3741
2,3589
1,3472
0,3369
23,3381
22,3443
21,3560
20,3766
19,4107
18,4587
17,5055
16,5441
15,5687
14,5825
13,5968
12,5922
11,5770
10,5516
9,5261
8,5002
7,4795
6,4575
5,4364
4,4194
3,4045
2,3883
1,3748
0,3651
23,3664
22,3751
21,3890
20,4087
19,4318
18,4673
17,5060
16,5375
15,5535
14,5705
13,5770
12,5636
11,5417
10,5154
9,4862
8,4569
7,4297
6,3979
5,3714
4,3462
3,3362
2,3336
1,3387
0,3407
23,3488
22,3591
21,3758
20,3969
19,4295
18,4719
17,5183
16,5534
15,5776
14,5970
13,6123
12,6057
11,5885
10,5686
9,5419
8,5197
7,4922
6,4627
5,4318
4,4062
3,3906
2,3838
1,3831
0,3808
23,3831
22,3946
21,4114
20,4361
19,4676
18,5066
17,5482
16,5802
15,6037
14,6231
13,6397
12,6361
11,6158
10,5897
9,5604
8,5298
7,5125
6,4877
5,4550
4,4310
3,4145
2,4016
1,3892
0,3744
23,3694
22,3728
21,3857
20,4077
19,4431
18,4885
17,5363
16,5647
15,5798
14,5818
13,5987
12,6040
11,5909
10,5792
9,5724
8,5582
7,5424
6,5146
5,4812
4,4553
3,4342
2,4133
1,3994
0,3853
23,3842
22,3935
21,4106
20,4330
19,4648
18,5110
17,5624
16,6060
15,6344
14,6574
13,6725
12,6656
11,6456
10,6163
9,5807
8,5429
7,5114
6,4712
5,4344
4,4033
3,3860
2,3663
1,3542
0,3448
23,3438
22,3540
21,3688
20,3943
19,4286
18,4734
17,5259
16,5682
15,6002
14,6233
13,6404
12,6342
11,6167
10,5927
9,5604
8,5250
7,4919
6,4557
5,4226
4,3982
3,3782
2,3594
1,3462
0,3384
23,3373
22,3507
21,3656
20,3879
19,4212
18,4647
17,5143
16,5541
15,5834
14,6023
13,6179
12,6082
11,5895
10,5685
9,5426
8,5149
7,4893
6,4610
5,4284
4,4057
3,3857
2,3646
1,3507
0,3413
23,3400
22,3501
21,3659
20,3893
19,4191
18,4584
17,4998
16,5361
15,5581
14,5784
13,5897
12,5821
11,5649
10,5442
