Time,Demand
"('0.0',)",3823.63063767
"('1.0',)",3924.50722609
"('2.0',)",4102.64130581
"('3.0',)",4144.74343475
"('4.0',)",4433.1612463
"('5.0',)",4802.02210261
"('6.0',)",5249.31340536
"('7.0',)",5871.62146951
"('8.0',)",5925.44052582
"('9.0',)",6082.15909683
"('10.0',)",6057.81690115
"('11.0',)",6033.26792187
"('12.0',)",5560.83685113
"('13.0',)",5366.84218649
"('14.0',)",5150.18286113
"('15.0',)",4754.27001433
"('16.0',)",4468.8716855
"('17.0',)",4331.35495898
"('18.0',)",4183.17104298
"('19.0',)",4016.83114469
"('20.0',)",3932.86155492
"('21.0',)",3480.09866986
"('22.0',)",3318.34447342
"('23.0',)",3573.29704861
