Time,Demand
11,6338
10,6207
9,5948
8,5939
7,5995
6,5990
5,5975
4,5934
3,5682
2,5652
1,5306
0,5194
23,5146
22,5218
21,5284
20,5776
19,5894
18,6366
17,6665
16,6848
15,6811
14,6691
13,6487
12,6107
11,5886
10,5708
9,5706
8,5533
7,5480
6,5489
5,5530
4,5357
3,5205
2,5211
1,5151
0,4987
23,4828
22,4839
21,4987
20,5328
19,5316
18,5557
17,5980
16,6131
15,6359
14,6335
13,5904
12,5576
11,5413
10,5426
9,5514
8,5546
7,5533
6,5545
5,5640
4,5751
3,5621
2,5406
1,5142
0,5121
23,5033
22,4999
21,5102
20,5355
19,5603
18,6104
17,6308
16,6566
15,6764
14,6478
13,6339
12,6299
11,5998
10,5879
9,5979
8,5817
7,5579
6,5510
5,5454
4,5556
3,5427
2,5370
1,5297
0,5032
23,4952
22,5000
21,5123
20,5126
19,5257
18,5777
17,5888
16,6043
15,6260
14,6245
13,6245
12,5767
11,5537
10,5571
9,5451
8,5537
7,5429
6,5394
5,5355
4,5351
3,5072
2,5047
1,5088
0,5070
23,5118
22,5255
21,5334
20,5405
19,5486
18,5639
17,5846
16,5941
15,6389
14,6152
13,6159
12,5933
11,5816
10,5724
9,5697
8,5385
7,5376
6,5381
5,5382
4,5375
3,5156
2,5062
1,5104
0,5054
23,5050
22,5055
21,5178
20,5292
19,5331
18,5698
17,5913
16,5998
15,6175
14,5988
13,5935
12,5927
11,5936
10,5892
9,5852
8,5776
7,5780
6,5802
5,5790
4,5690
3,5598
2,5798
1,5696
0,5734
23,5704
22,5881
21,5959
20,5797
19,5899
18,6392
17,6803
16,6963
15,7030
14,6831
13,6554
12,6566
11,6400
10,6244
9,6254
8,6299
7,6319
6,6314
5,6336
4,6257
3,6101
2,6083
1,6102
0,5941
23,5828
22,5867
21,5953
20,6184
19,6473
18,6687
17,6937
16,7219
15,7385
14,7399
13,7347
12,7101
11,6941
10,6696
9,6712
8,6622
7,6586
6,6511
5,6319
4,6144
3,6143
2,6206
1,6024
0,5947
23,5942
22,5947
21,6071
20,6235
19,6788
18,7089
17,7378
16,7609
15,7644
14,7635
13,7599
12,7689
11,7772
10,7656
9,7572
8,7357
7,7227
6,6783
5,6394
4,6395
3,6308
2,6539
1,6405
0,6121
23,6016
22,6103
21,6260
20,6523
19,6605
18,6811
17,7126
16,7456
15,7630
14,7673
13,7924
12,7974
11,7963
10,7814
9,7671
8,7366
7,7143
6,6816
5,6719
4,6520
3,6321
2,6385
1,6160
0,5985
23,5880
22,5921
21,6047
20,6294
19,6439
18,6854
17,6849
16,7235
15,7398
14,7421
13,7444
12,7469
11,7379
10,7149
9,6817
8,6857
7,6798
6,6763
5,6708
4,6506
3,6352
2,6213
1,6226
0,6261
23,6239
22,6204
21,6354
20,6523
19,6603
18,6587
17,6464
16,6621
15,6581
14,6566
13,6595
12,6582
11,6519
10,6423
9,6375
8,6243
7,6255
6,6195
5,5989
4,5946
3,5982
2,5846
1,5859
0,5676
23,5653
22,5767
21,5801
20,5898
19,6072
18,6437
17,6806
16,6883
15,6931
14,6960
13,6943
12,7085
11,6808
10,6602
9,6319
8,6577
7,6613
6,6455
5,6232
4,6451
3,6501
2,6479
1,6352
0,6184
23,6085
22,6145
21,6370
20,6362
19,6267
18,6553
17,6820
16,6960
15,6979
14,6922
13,7030
12,7133
11,7078
10,7022
9,6706
8,6614
7,6429
6,6406
5,6328
4,6218
3,5935
2,5803
1,5792
0,5578
23,5555
22,5712
21,5891
20,6026
19,6238
18,6542
17,6773
16,6984
15,7093
14,7235
13,7184
12,7380
11,7405
10,7153
9,7092
8,6653
7,6435
6,6396
5,6231
4,6106
3,6095
2,6033
1,5928
0,5824
23,5818
22,5898
21,5946
20,6178
19,6802
18,6924
17,6971
16,7208
15,7413
14,7485
13,7600
12,7651
11,7519
10,7400
9,7344
8,6997
7,6674
6,6694
5,6812
4,6587
3,6364
2,6089
1,6170
0,6090
23,6119
22,6125
21,6159
20,6242
19,6301
18,6579
17,7027
16,7110
15,7170
14,7226
13,7385
12,7186
