Time,Demand
"('0.0',)",5989.92541232
"('1.0',)",5888.5273304
"('2.0',)",6115.31715701
"('3.0',)",6363.26639141
"('4.0',)",6710.6050017
"('5.0',)",6492.48643786
"('6.0',)",6735.38614565
"('7.0',)",6995.89511253
"('8.0',)",6835.24453614
"('9.0',)",7190.91286711
"('10.0',)",7570.51177824
"('11.0',)",7593.2869892
"('12.0',)",7726.34696712
"('13.0',)",7748.94896235
"('14.0',)",7628.69472882
"('15.0',)",7394.21229596
"('16.0',)",7207.97474856
"('17.0',)",7041.23110927
"('18.0',)",6719.91225217
"('19.0',)",6791.31709478
"('20.0',)",6467.33187778
"('21.0',)",5837.5768348
"('22.0',)",5906.73498771
"('23.0',)",5838.60703142
