Time,Demand
23,2651
22,2565
21,2438
20,2628
19,2432
18,2348
17,2365
16,2346
15,2297
14,2164
13,2163
12,2234
11,2419
10,2311
9,2353
8,2383
7,2271
6,2783
5,2944
4,2844
3,2763
2,2792
1,2866
0,2865
23,2813
22,2691
21,2560
20,2430
19,2174
18,1895
17,1521
16,1644
15,2250
14,2113
13,2039
12,2047
11,2209
10,2171
9,2172
8,2303
7,2303
6,2495
5,2642
4,2669
3,2731
2,2611
1,2663
0,2654
23,2674
22,2619
21,2549
20,2391
19,2209
18,1870
17,1992
16,1910
15,2061
14,1948
13,1864
12,1926
11,2085
10,1971
9,2199
8,2310
7,2303
6,2452
5,2596
4,2584
3,2684
2,2947
1,2960
0,2754
23,2654
22,2411
21,2575
20,2742
19,2830
18,2744
17,2577
16,2627
15,2661
14,2524
13,2328
12,2085
11,2065
10,2094
9,2423
8,2517
7,2922
6,3178
5,3129
4,3044
3,3085
2,3060
1,3148
0,3006
23,3002
22,2965
21,2693
20,2667
19,2957
18,2900
17,2857
16,2935
15,3041
14,2886
13,2745
12,2876
11,3032
10,3156
9,3196
8,3283
7,3011
6,2910
5,3172
4,2759
3,2845
2,2998
1,2858
0,2787
23,2880
22,2948
21,2590
20,2675
19,2612
18,2744
17,2632
16,2683
15,2590
14,2323
13,2430
12,2574
11,2344
10,2059
9,2128
8,2385
7,2437
6,2419
5,2623
4,2628
3,2848
2,2750
1,3012
0,3082
23,2996
22,2920
21,2915
20,2804
19,2651
18,2505
17,2588
16,2535
15,2543
14,2448
13,2182
12,1999
11,1981
10,1973
9,1949
8,2114
7,2118
6,2268
5,2433
4,2607
3,2518
2,2514
1,2600
0,2769
23,2832
22,2749
21,2748
20,2557
19,2485
18,2150
17,2129
16,2165
15,2653
14,2626
13,2329
12,2072
11,1988
10,1923
9,2132
8,2283
7,2375
6,2301
5,2563
4,2607
3,2227
2,2173
1,2090
0,1995
23,1974
22,1818
21,1963
20,1868
19,2066
18,1793
17,1717
16,1740
15,1751
14,1577
13,1115
12,1156
11,980
10,1104
9,1467
8,1424
7,1446
6,1364
5,1549
4,1610
3,1546
2,1527
1,1660
0,1741
23,1916
22,2013
21,2140
20,2304
19,2160
18,2243
17,2302
16,2563
15,2684
14,2686
13,2477
12,2499
11,2591
10,2734
9,2848
8,2530
7,2517
6,2673
5,2922
4,3004
3,2875
2,2934
1,3148
0,3164
23,3331
22,3290
21,3243
20,3144
19,3175
18,3028
17,3108
16,3204
15,3022
14,2657
13,2514
12,2067
11,1657
10,2053
9,2231
8,2088
7,2128
6,2569
5,2791
4,2823
3,2988
2,2950
1,2955
0,2768
23,2744
22,2789
21,2779
20,2372
19,2323
18,2085
17,1744
16,1571
15,1625
14,1417
13,1354
12,1268
11,1471
10,1646
9,1983
8,1978
7,1774
6,1952
5,1929
4,1949
3,2071
2,2162
1,2086
0,2059
23,2044
22,2001
21,1970
20,1863
19,2001
18,2020
17,1453
16,1288
15,1175
14,896
13,845
12,1004
11,1082
10,1397
9,1668
8,1814
7,1841
6,1832
5,2004
4,2135
3,2080
2,2126
1,2186
0,2165
23,2056
22,2332
21,2190
20,2156
19,2400
18,2475
17,2113
16,2116
15,2253
14,2033
13,1898
12,1944
11,1987
10,1946
9,2019
8,2217
7,2065
6,2219
5,2054
4,1623
3,1569
2,1851
1,1929
0,1911
23,1836
22,1779
21,1617
20,1416
19,1434
18,1451
17,1128
16,984
15,906
14,738
13,637
12,508
11,629
10,495
9,361
8,625
7,986
6,1332
5,1670
4,1765
3,1794
2,1809
1,2247
0,2249
23,2199
22,2052
21,1910
20,1607
19,1614
18,1394
17,1013
16,833
15,600
14,567
13,522
12,565
11,511
10,629
9,713
8,1015
7,1227
6,1373
5,1532
4,1671
3,1706
2,1770
1,2107
0,2012
23,2036
22,2016
21,2171
20,2040
19,1889
18,1534
17,1240
16,937
15,754
14,571
13,559
12,190
11,93
10,61
9,428
8,760
7,1087
6,1454
5,1565
4,1716
3,1863
2,2098
1,2198
0,2181
23,2068
22,1952
21,1924
20,1996
19,1959
18,1646
17,1011
16,846
15,546
14,-87
13,-212
12,-262
11,-458
10,-290
9,104
8,282
7,430
6,672
5,1024
4,1274
3,1415
2,1437
1,1725
0,1836
23,1802
22,1826
21,1729
20,1800
19,1781
18,1617
17,1330
16,1112
15,844
14,703
13,550
12,565
11,476
10,436
9,565
8,761
7,847
6,947
5,1213
4,1403
3,1571
2,1668
1,1958
0,2055
23,2008
22,1932
21,1704
20,1544
19,1559
18,1684
17,1619
16,1657
15,1426
14,1167
13,1002
12,758
11,433
10,516
9,791
8,1024
7,1293
6,1534
5,1783
4,1946
3,2014
2,2473
1,2776
0,2772
23,2609
22,2049
21,1900
20,1777
19,1600
18,1406
17,983
16,719
15,615
14,300
13,234
12,411
11,511
10,514
9,445
8,632
7,840
6,1015
5,1114
4,1284
3,1620
2,1690
1,1759
0,1553
23,1175
22,1221
21,1300
20,1171
19,946
18,902
17,663
16,579
15,288
14,20
13,-117
12,-241
11,-72
10,-43
9,271
8,553
7,682
6,731
5,677
4,1024
3,1381
2,1716
1,1990
0,1896
23,1900
22,1782
21,1771
20,1682
19,1806
18,2536
17,2050
16,1664
15,1334
14,902
13,855
12,972
11,895
10,958
9,1218
8,1414
7,1696
6,2168
5,2301
4,2322
3,2232
2,2313
1,2382
0,2369
23,2329
22,2254
21,2249
20,2196
19,2028
18,1916
17,1573
16,1263
15,959
14,676
13,615
12,840
11,964
10,1017
9,1191
8,1154
7,1337
6,1493
5,1686
4,1802
3,1949
2,1958
1,2169
0,2022
23,1981
22,1929
21,2002
20,2112
19,2025
18,1858
17,1428
16,1210
15,846
14,543
13,565
12,694
11,787
10,693
9,998
8,1190
7,1345
6,1414
5,1538
4,1551
3,1672
2,1697
1,1707
0,1846
23,1933
22,1959
21,1769
20,1894
19,1540
18,1472
17,1072
16,813
15,773
14,591
13,335
12,364
11,571
10,584
9,845
8,1016
7,1027
6,1286
5,1481
4,1657
3,1814
2,1902
1,2121
0,2110
23,1969
22,1870
21,2017
20,1857
19,1570
18,1490
17,1189
16,1039
15,591
14,268
13,216
12,135
11,218
10,642
9,1119
8,1201
7,1248
6,1580
5,1787
4,1870
3,1932
2,2066
1,2283
0,2213
23,2172
22,2048
21,1836
20,1769
19,1531
18,1297
17,1058
16,1105
15,825
14,800
13,756
12,926
11,994
10,1099
9,1260
8,1543
7,1695
6,1895
5,2094
4,2245
3,2399
2,2412
1,2182
0,2122
23,2129
22,2009
21,2007
20,2427
11,2280
10,2339
9,2265
8,2417
7,2634
6,2730
5,2788
4,2791
3,2661
2,2762
1,2441
0,2256
23,2076
22,1969
21,1799
20,1953
19,1662
18,1853
17,1901
16,2009
15,1825
14,1735
13,1714
12,1563
11,1621
10,1693
9,1898
8,1915
7,2063
6,2211
5,2340
4,2223
3,2212
2,2371
1,2356
0,2137
23,1868
22,1692
21,1616
20,1589
19,1168
18,1092
17,1250
16,1321
15,1431
14,1452
13,1186
12,1110
11,1198
10,1490
9,1781
8,1993
7,2176
6,2327
5,2470
4,2622
3,2643
2,2569
1,2335
0,2268
23,2060
22,1864
21,1751
20,1673
19,1547
18,1724
17,1630
16,1807
15,1870
14,1640
13,1706
12,1899
11,1848
10,1991
9,2267
8,2303
7,2254
6,2286
5,2290
4,2420
3,2447
2,2535
1,2498
0,2181
23,1990
22,1889
21,1779
20,1471
19,1237
18,1429
17,1270
16,1293
15,1385
14,1404
13,1594
12,1348
11,1340
10,1624
9,1749
8,2090
7,2217
6,2400
5,2518
4,2590
3,2235
2,2206
1,2205
0,2096
23,2007
22,1979
21,1820
20,1609
19,1422
18,1310
17,1278
16,1239
15,1548
14,1365
13,1542
12,1555
11,1702
10,1834
9,2038
8,1941
7,2140
6,2310
5,2471
4,2543
3,2294
2,2224
1,2226
0,2076
23,1927
22,1739
21,1623
20,1419
19,1157
18,1291
17,1276
16,1266
15,1308
14,1120
13,1224
12,1430
11,1662
10,1840
9,1940
8,1999
7,2141
6,2270
5,2361
4,2356
3,2397
2,2728
1,2639
0,2602
23,2429
22,2400
21,2198
20,1664
19,1310
18,1446
17,1587
16,1711
15,1609
14,1391
13,1224
12,1379
11,1380
10,1426
9,1609
8,1906
7,2104
6,2270
5,2421
4,2454
3,2399
2,2498
1,2514
0,2248
23,1956
22,1765
21,1573
20,1413
19,1278
18,1128
17,1090
16,1299
15,1274
14,1238
13,1289
12,1222
11,1349
10,1438
9,1786
8,1972
7,2250
6,2369
5,2340
4,2269
3,2389
2,2569
1,2379
0,2197
23,2019
22,1801
21,1621
20,1362
19,1449
18,1340
17,1279
16,1362
15,1155
14,1092
13,1148
12,1477
11,1894
10,2164
9,2400
8,2567
7,2780
6,2593
5,2387
4,2521
3,2552
2,2917
1,2796
0,2418
23,2149
22,1994
21,1882
20,1716
19,1331
18,1169
17,1155
16,1344
15,1251
14,1283
13,1676
12,1974
11,2270
10,2440
9,2541
8,2561
7,2642
6,2567
5,2667
4,2629
3,2562
2,2788
1,2583
0,2352
23,2126
22,1973
21,1847
20,1743
19,1492
18,1583
17,1293
16,1500
15,1483
14,1548
13,1715
12,1999
11,2197
10,2310
9,2317
8,2703
7,2986
6,3253
5,3440
4,3364
3,3178
2,3016
1,2999
0,2925
23,2761
22,2566
21,2476
20,2385
19,2187
18,1994
17,1719
16,1844
15,1723
14,1630
13,1728
12,1783
11,1902
10,2026
9,2202
8,2300
7,2485
6,2580
5,2545
4,2590
3,2608
2,2503
1,2495
0,2227
23,2095
22,2046
21,1859
20,1651
19,1531
18,1662
17,1818
16,1882
15,1772
14,1742
13,1835
12,2114
11,2029
10,2002
9,1937
8,2279
7,2477
6,2452
5,2376
4,2673
3,2857
2,2984
1,2871
0,2625
23,2376
22,2224
21,2150
20,1786
19,1280
18,1199
17,1171
16,1184
15,955
14,797
13,1030
12,1368
11,1592
10,1886
9,1832
8,2027
7,2111
6,2326
5,2383
4,2384
3,2246
2,2253
1,2265
0,1963
23,1783
22,1720
21,1602
20,1337
19,1095
18,1018
17,911
16,955
15,829
14,929
13,998
12,1424
11,1758
10,1837
9,2071
8,1969
7,2016
6,2236
5,2240
4,2227
3,2310
2,2361
1,2243
0,2038
23,1880
22,1737
21,1484
20,1300
19,1464
18,1226
17,945
16,1077
15,1075
14,1098
13,1362
12,1618
11,1784
10,2021
9,2245
8,2259
7,2265
6,2562
5,2874
4,2811
3,2685
2,2571
1,2652
0,2499
23,2372
22,2181
21,1926
20,1616
19,1253
18,1223
17,1291
16,1266
15,1135
14,1155
13,1458
12,1522
11,1635
10,1938
9,2194
8,2365
7,2598
6,2653
5,2735
4,2649
3,2496
2,2430
1,2405
0,2256
23,2146
22,1988
21,1772
20,1742
19,1705
18,1745
17,1646
16,1583
15,1461
14,1414
13,1603
12,1894
11,2148
10,2466
9,2615
8,2739
7,2719
6,2675
5,2572
4,2851
3,2879
2,2719
1,2738
0,2674
23,2591
22,2535
21,2709
20,2435
19,2025
18,1705
17,1371
16,1451
15,1438
14,1576
13,1478
12,1376
11,1038
10,1958
9,2376
8,2434
7,2533
6,2783
5,2810
4,2548
3,2193
2,2141
1,2290
0,2268
23,2143
22,2028
21,1935
20,1733
19,1668
18,1519
17,1270
16,982
15,1269
14,1402
13,1600
12,1585
11,1659
10,2079
9,2172
8,2361
7,2607
6,2623
5,2575
4,2737
3,2530
2,2567
1,2531
0,2358
23,2166
22,1972
21,1954
20,1594
19,1337
18,1327
17,1416
16,1576
15,1777
14,1857
13,2116
12,2301
11,2264
10,2132
9,2338
8,2385
7,2729
6,3116
5,3255
4,3131
3,3128
2,3210
1,3117
0,2876
23,2677
22,2487
21,2136
20,1797
19,1642
18,1833
17,1768
16,1673
15,1396
14,1472
13,1797
12,2047
11,2352
10,2536
9,2397
8,2622
7,3046
6,3278
5,3166
4,3212
3,3112
2,2929
1,2749
0,2586
23,2352
22,2108
21,1959
20,2025
19,1837
18,1749
17,1590
16,1569
15,1505
14,1561
13,1942
12,2158
11,2446
10,2682
9,2843
8,2886
7,2862
6,2727
5,2748
4,2984
3,3088
2,3114
1,2906
0,2574
23,2321
22,2161
21,2286
20,1967
19,1606
18,1600
17,1691
16,1723
15,1549
14,1756
13,2131
12,2298
11,2488
10,2478
9,2524
8,2501
7,2441
6,2505
5,2361
4,2268
3,2461
2,2519
1,2501
0,2304
23,2118
22,1984
21,1762
20,1527
19,1705
18,1734
17,1720
16,1675
15,1654
14,1762
13,2074
12,2049
11,2036
10,2175
9,2270
8,2414
7,2635
6,2761
5,2941
4,2981
3,2897
2,2718
1,2866
0,2753
23,2685
22,2398
21,2351
20,2355
19,2391
18,2283
17,2051
16,1941
15,1698
14,1731
13,1955
12,2221
11,2448
10,2614
9,2746
8,2806
7,2716
6,2794
5,2902
4,3045
3,2908
2,2835
1,2781
0,2662
23,2649
22,2626
21,2326
20,2254
19,1979
18,2002
17,1727
16,1498
15,1344
14,1554
13,1870
12,2025
11,2255
10,2386
9,2351
8,2400
7,2725
6,2668
5,2648
4,2694
3,2795
2,2828
1,2608
0,2379
23,2199
22,2066
21,1929
20,1864
19,1654
18,1822
17,1830
16,1796
15,1681
14,1782
13,2122
12,2066
11,2262
10,2391
9,2498
8,2752
7,2817
6,2949
5,3008
4,2997
3,3219
2,3332
1,3129
0,2768
23,2489
22,2283
21,1995
20,1848
19,1401
18,1186
17,1610
16,1830
15,1772
14,1864
13,2004
12,2186
11,2542
10,2453
9,2473
8,2594
7,2769
6,2756
5,2865
4,3040
3,2816
2,3068
1,2946
0,2804
23,2634
22,2516
21,2230
20,1862
19,1640
18,1599
