Time,Demand
23,6338
22,6207
21,5948
20,5939
19,5995
18,5990
17,5975
16,5934
15,5682
14,5652
13,5306
12,5194
11,5146
10,5218
09,5284
08,5776
07,5894
06,6366
05,6665
04,6848
03,6811
02,6691
01,6487
00,6107
23,5886
22,5708
21,5706
20,5533
19,5480
18,5489
17,5530
16,5357
15,5205
14,5211
13,5151
12,4987
11,4828
10,4839
09,4987
08,5328
07,5316
06,5557
05,5980
04,6131
03,6359
02,6335
01,5904
00,5576
23,5413
22,5426
21,5514
20,5546
19,5533
18,5545
17,5640
16,5751
15,5621
14,5406
13,5142
12,5121
11,5033
10,4999
09,5102
08,5355
07,5603
06,6104
05,6308
04,6566
03,6764
02,6478
01,6339
00,6299
23,5998
22,5879
21,5979
20,5817
19,5579
18,5510
17,5454
16,5556
15,5427
14,5370
13,5297
12,5032
11,4952
10,5000
09,5123
08,5126
07,5257
06,5777
05,5888
04,6043
03,6260
02,6245
01,6245
00,5767
23,5537
22,5571
21,5451
20,5537
19,5429
18,5394
17,5355
16,5351
15,5072
14,5047
13,5088
12,5070
11,5118
10,5255
09,5334
08,5405
07,5486
06,5639
05,5846
04,5941
03,6389
02,6152
01,6159
00,5933
23,5816
22,5724
21,5697
20,5385
19,5376
18,5381
17,5382
16,5375
15,5156
14,5062
13,5104
12,5054
11,5050
10,5055
09,5178
08,5292
07,5331
06,5698
05,5913
04,5998
03,6175
02,5988
01,5935
00,5927
23,5936
22,5892
21,5852
20,5776
19,5780
18,5802
17,5790
16,5690
15,5598
14,5798
13,5696
12,5734
11,5704
10,5881
09,5959
08,5797
07,5899
06,6392
05,6803
04,6963
03,7030
02,6831
01,6554
00,6566
23,6400
22,6244
21,6254
20,6299
19,6319
18,6314
17,6336
16,6257
15,6101
14,6083
13,6102
12,5941
11,5828
10,5867
09,5953
08,6184
07,6473
06,6687
05,6937
04,7219
03,7385
02,7399
01,7347
00,7101
23,6941
22,6696
21,6712
20,6622
19,6586
18,6511
17,6319
16,6144
15,6143
14,6206
13,6024
12,5947
11,5942
10,5947
09,6071
08,6235
07,6788
06,7089
05,7378
04,7609
03,7644
02,7635
01,7599
00,7689
23,7772
22,7656
21,7572
20,7357
19,7227
18,6783
17,6394
16,6395
15,6308
14,6539
13,6405
12,6121
11,6016
10,6103
09,6260
08,6523
07,6605
06,6811
05,7126
04,7456
03,7630
02,7673
01,7924
00,7974
23,7963
22,7814
21,7671
20,7366
19,7143
18,6816
17,6719
16,6520
15,6321
14,6385
13,6160
12,5985
11,5880
10,5921
09,6047
08,6294
07,6439
06,6854
05,6849
04,7235
03,7398
02,7421
01,7444
00,7469
23,7379
22,7149
21,6817
20,6857
19,6798
18,6763
17,6708
16,6506
15,6352
14,6213
13,6226
12,6261
11,6239
10,6204
09,6354
08,6523
07,6603
06,6587
05,6464
04,6621
03,6581
02,6566
01,6595
00,6582
23,6519
22,6423
21,6375
20,6243
19,6255
18,6195
17,5989
16,5946
15,5982
14,5846
13,5859
12,5676
11,5653
10,5767
09,5801
08,5898
07,6072
06,6437
05,6806
04,6883
03,6931
02,6960
01,6943
00,7085
23,6808
22,6602
21,6319
20,6577
19,6613
18,6455
17,6232
16,6451
15,6501
14,6479
13,6352
12,6184
11,6085
10,6145
09,6370
08,6362
07,6267
06,6553
05,6820
04,6960
03,6979
02,6922
01,7030
00,7133
23,7078
22,7022
21,6706
20,6614
19,6429
18,6406
17,6328
16,6218
15,5935
14,5803
13,5792
12,5578
11,5555
10,5712
09,5891
08,6026
07,6238
06,6542
05,6773
04,6984
03,7093
02,7235
01,7184
00,7380
23,7405
22,7153
21,7092
20,6653
19,6435
18,6396
17,6231
16,6106
15,6095
14,6033
13,5928
12,5824
11,5818
10,5898
09,5946
08,6178
07,6802
06,6924
05,6971
04,7208
03,7413
02,7485
01,7600
00,7651
23,7519
22,7400
21,7344
20,6997
19,6674
18,6694
17,6812
16,6587
15,6364
14,6089
13,6170
12,6090
11,6119
10,6125
09,6159
08,6242
07,6301
06,6579
05,7027
04,7110
03,7170
02,7226
01,7385
00,7186
23,6968
22,6909
21,6851
20,6689
19,6579
18,6375
17,6251
16,6064
15,5955
14,5894
13,5898
12,5857
11,5886
10,5933
09,5993
08,6292
07,6591
06,6886
05,7027
04,7079
03,7173
02,7185
01,7230
00,7323
23,7329
22,7368
21,7226
20,7002
19,6649
18,6322
17,6005
16,6201
15,6274
14,6130
13,6200
12,6243
11,6293
10,6422
09,6860
08,6915
07,6833
06,6755
05,6674
04,6852
03,7038
02,7203
01,7186
00,7035
23,6507
22,7173
21,7284
20,6978
19,6796
18,6800
17,6602
16,6242
15,5942
14,5895
13,6111
12,6211
11,6238
10,6308
09,6511
08,6701
07,6966
06,7109
05,7211
04,7143
03,7711
02,7864
01,7903
00,7602
23,7321
22,7375
21,7177
20,7035
19,6946
18,6681
17,6441
16,6465
15,6145
14,6090
13,6058
12,5981
11,5944
10,5977
09,6260
08,6291
07,6447
06,6832
05,7295
04,7653
03,8081
02,8195
01,8318
00,8268
23,7956
22,7505
21,7485
20,7263
19,7287
18,7398
17,7326
16,7049
15,6949
14,6924
13,6846
12,6728
11,6717
10,6767
09,6737
08,6798
07,7130
06,7723
05,7998
04,8057
03,8038
02,8128
01,8297
00,8287
23,8226
22,8125
21,7731
20,7635
19,7721
18,7681
17,7363
16,7236
15,7043
14,6742
13,6584
12,6541
11,6476
10,6458
09,6635
08,7162
07,7450
06,7733
05,7888
04,8017
03,8159
02,8230
01,8463
00,8425
23,8393
22,8310
21,8208
20,7936
19,7568
18,7170
17,6961
