Time,Demand
"('0.0',)",7707.55934687
"('1.0',)",8076.03805575
"('2.0',)",7972.08791367
"('3.0',)",7748.65704529
"('4.0',)",7502.40263979
"('5.0',)",7242.91087087
"('6.0',)",6996.75669882
"('7.0',)",7024.52776606
"('8.0',)",6898.7461995
"('9.0',)",6372.40924244
"('10.0',)",6175.88507959
"('11.0',)",6243.00157729
"('12.0',)",6195.49569623
"('13.0',)",6115.51704002
"('14.0',)",5809.67451967
"('15.0',)",6225.58979039
"('16.0',)",6044.45993658
"('17.0',)",6600.01567732
"('18.0',)",6821.84291325
"('19.0',)",7058.16842788
"('20.0',)",6904.96716379
"('21.0',)",7014.60940006
"('22.0',)",7187.11018409
"('23.0',)",6578.1561129
