Time,Demand
23,4536
22,4287
21,4058
20,3868
19,3683
18,3522
17,3361
16,3260
15,3187
14,3143
13,3021
12,2890
11,2865
10,2938
09,3070
08,3249
07,3485
06,3823
05,4232
04,4513
03,4764
02,4839
01,4986
00,4956
23,4773
22,4544
21,4265
20,4015
19,3808
18,3618
17,3417
16,3278
15,3190
14,3134
13,2993
12,2840
11,2795
10,2850
09,2960
08,3147
07,3371
06,3739
05,4148
04,4465
03,4730
02,4810
01,4928
00,4883
23,4718
22,4466
21,4215
20,3936
19,3733
18,3553
17,3357
16,3218
15,3170
14,3129
13,2978
12,2837
11,2807
10,2853
09,2973
08,3135
07,3351
06,3682
05,4056
04,4380
03,4678
02,4759
01,4894
00,4838
23,4633
22,4400
21,4150
20,3888
19,3712
18,3514
17,3325
16,3224
15,3164
14,3136
13,2980
12,2835
11,2799
10,2851
09,2962
08,3111
07,3344
06,3655
05,4020
04,4348
03,4618
02,4750
01,4875
00,4841
23,4651
22,4419
21,4197
20,3947
19,3702
18,3447
17,3212
16,2994
15,2837
14,2761
13,2837
12,2841
11,2883
10,2974
09,3111
08,3276
07,3514
06,3796
05,4064
04,4329
03,4568
02,4702
01,4841
00,4787
23,4617
22,4378
21,4114
20,3890
19,3659
18,3444
17,3236
16,3071
15,2911
14,2832
13,2862
12,2838
11,2878
10,2978
09,3123
08,3316
07,3555
06,3873
05,4174
04,4407
03,4637
02,4732
01,4867
00,4868
23,4711
22,4497
21,4274
20,4052
19,3912
18,3777
17,3639
16,3532
15,3429
14,3334
13,3201
12,3070
11,3057
10,3132
09,3275
08,3481
07,3761
06,4133
05,4589
04,4946
03,5216
02,5252
01,5421
00,5440
23,5330
22,5187
21,5020
20,4818
19,4645
18,4393
17,4215
16,4044
15,3915
14,3803
13,3702
12,3585
11,3588
10,3693
09,3872
08,4102
07,4380
06,4771
05,5195
04,5559
03,5847
02,5920
01,6111
00,6161
23,6058
22,5879
21,5592
20,5258
19,4926
18,4650
17,4336
16,4142
15,3979
14,3875
13,3754
12,3637
11,3645
10,3750
09,3923
08,4146
07,4450
06,4873
05,5339
04,5749
03,6099
02,6247
01,6489
00,6543
23,6451
22,6212
21,5878
20,5492
19,5172
18,4790
17,4447
16,4190
15,4007
14,3874
13,3756
12,3622
11,3609
10,3703
09,3867
08,4109
07,4378
06,4807
05,5274
04,5642
03,5971
02,6112
01,6379
00,6390
23,6248
22,6000
21,5693
20,5374
19,5130
18,4805
17,4501
16,4249
15,4052
14,3891
13,3759
12,3597
11,3577
10,3633
09,3754
08,3948
07,4200
06,4551
05,4947
04,5271
03,5556
02,5735
01,5915
00,5873
23,5729
22,5470
21,5182
20,4839
19,4500
18,4154
17,3812
16,3510
15,3268
14,3142
13,3174
12,3197
11,3227
10,3336
09,3478
08,3638
07,3878
06,4138
05,4416
04,4593
03,4745
02,4777
01,4858
00,4936
23,4867
22,4799
21,4617
20,4397
19,4173
18,3943
17,3770
16,3615
15,3444
14,3356
13,3374
12,3343
11,3364
10,3449
09,3558
08,3721
07,3942
06,4247
05,4541
04,4775
03,4988
02,5001
01,5159
00,5218
23,5108
22,4971
21,4779
20,4600
19,4382
18,4298
17,4136
16,4003
15,3856
14,3778
13,3644
12,3495
11,3481
10,3559
09,3709
08,3921
07,4220
06,4576
05,4987
04,5354
03,5649
02,5776
01,6024
00,6125
23,6000
22,5765
21,5486
20,5136
19,4874
18,4587
17,4318
16,4080
15,3945
14,3834
13,3689
12,3550
11,3527
10,3615
09,3772
08,3992
07,4289
06,4689
05,5143
04,5524
03,5862
02,6029
01,6264
00,6306
23,6186
22,5956
21,5647
20,5316
19,5021
18,4684
17,4419
16,4160
15,3991
14,3879
13,3785
12,3672
11,3685
10,3786
09,3938
08,4161
07,4462
06,4878
05,5338
04,5698
03,6026
02,6131
01,6338
00,6387
23,6238
22,6033
21,5735
20,5379
19,5099
18,4738
17,4409
16,4132
15,3938
14,3776
13,3679
12,3518
11,3518
10,3591
09,3747
08,3944
07,4233
06,4626
05,5048
04,5356
03,5736
02,5844
01,6035
00,6071
23,5927
22,5664
21,5333
20,4971
19,4657
18,4324
17,3981
16,3722
15,3516
14,3415
13,3459
12,3464
11,3493
10,3601
09,3740
08,3945
07,4221
06,4550
05,4886
04,5141
03,5381
02,5496
01,5712
00,5771
23,5627
22,5429
21,5181
20,4902
19,4611
18,4263
17,3930
16,3647
15,3433
14,3350
13,3395
12,3411
11,3462
10,3569
09,3702
08,3887
07,4151
06,4480
05,4808
04,5050
03,5303
02,5401
01,5600
00,5627
23,5708
22,5659
21,5469
20,5215
19,4908
18,4544
17,4263
16,4017
15,3792
14,3694
13,3749
12,3754
11,3821
10,3943
09,4095
08,4280
07,4576
06,4968
05,5298
04,5590
03,5941
02,6161
01,6442
00,6462
23,6303
22,6017
21,5662
20,5296
19,5005
18,4674
17,4339
16,4058
15,3866
14,3728
13,3615
12,3523
11,3527
10,3623
09,3778
08,4005
07,4306
06,4697
05,5110
04,5505
03,5879
02,6077
01,6304
00,6338
23,6202
22,5967
21,5692
20,5373
19,5147
18,4878
17,4558
16,4282
15,4071
14,3918
13,3821
12,3714
11,3729
10,3852
09,4040
08,4280
07,4601
06,5001
05,5488
04,5890
03,6230
02,6384
01,6642
00,6656
23,6500
22,6240
21,5874
20,5589
19,5334
18,5013
17,4675
16,4403
15,4197
14,4024
13,3931
12,3813
11,3835
10,3955
09,4124
08,4350
07,4676
06,5137
05,5613
04,5984
03,6298
02,6448
01,6654
00,6669
23,6521
22,6267
21,5947
20,5628
19,5365
18,5050
17,4706
16,4443
15,4213
14,4068
13,3952
12,3851
11,3878
10,4006
09,4164
08,4409
07,4714
06,5198
05,5721
04,6125
03,6386
02,6493
01,6686
00,6705
23,6588
22,6386
21,6105
20,5799
19,5540
18,5199
17,4859
16,4564
15,4384
14,4207
13,4096
12,3979
11,3972
10,4061
09,4209
08,4432
07,4752
06,5170
05,5623
04,5990
03,6254
02,6482
01,6635
00,6544
23,6375
22,6179
21,5906
20,5571
19,5217
