Time,Demand
23,2599
22,2527
21,2552
20,2593
19,2581
18,2777
17,2976
16,3091
15,3124
14,2931
13,2668
12,2412
11,2253
10,2169
9,2105
8,2137
7,2201
6,2292
5,2413
4,2544
3,2628
2,2602
1,2488
0,2410
23,2393
22,2396
21,2416
20,2488
19,2595
18,2771
17,2901
16,2984
15,3019
14,2873
13,2688
12,2469
11,2296
10,2206
9,2194
8,2223
7,2265
6,2371
5,2504
4,2632
3,2726
2,2690
1,2551
0,2452
23,2402
22,2404
21,2434
20,2513
19,2644
18,2822
17,2996
16,3070
15,3093
14,2930
13,2741
12,2597
11,2512
10,2484
9,2353
8,2383
7,2458
6,2557
5,2704
4,2886
3,3049
2,3031
1,2768
0,2550
23,2475
22,2454
21,2496
20,2567
19,2662
18,2876
17,3077
16,3194
15,3225
14,3052
13,2823
12,2656
11,2528
10,2489
9,2504
8,2522
7,2597
6,2566
5,2611
4,2790
3,2904
2,2855
1,2613
0,2435
23,2379
22,2372
21,2425
20,2518
19,2675
18,2904
17,3143
16,3281
15,3353
14,3241
13,3085
12,2914
11,2760
10,2681
9,2612
8,2564
7,2534
6,2578
5,2647
4,2768
3,2888
2,2881
1,2627
0,2438
23,2378
22,2366
21,2428
20,2505
19,2660
18,2897
17,3132
16,3261
15,3312
14,3217
13,3054
12,2928
11,2812
10,2737
9,2637
8,2621
7,2596
6,2649
5,2716
4,2835
3,2908
2,2877
1,2627
0,2445
23,2362
22,2373
21,2416
20,2499
19,2665
18,2877
17,3090
16,3214
15,3256
14,3156
13,2955
12,2764
11,2603
10,2520
9,2471
8,2431
7,2484
6,2582
5,2774
4,3016
3,3192
2,3122
1,2800
0,2554
23,2439
22,2397
21,2416
20,2483
19,2617
18,2831
17,3043
16,3197
15,3225
14,3135
13,2918
12,2781
11,2659
10,2574
9,2638
8,2543
7,2524
6,2652
5,2841
4,3043
3,3283
2,3281
1,2917
0,2660
23,2524
22,2484
21,2488
20,2535
19,2640
18,2842
17,3063
16,3192
15,3211
14,3073
13,2812
12,2604
11,2421
10,2357
9,2347
8,2357
7,2430
6,2584
5,2845
4,3165
3,3402
2,3367
1,3002
0,2720
23,2617
22,2564
21,2567
20,2598
19,2686
18,2888
17,3086
16,3202
15,3241
14,3081
13,2794
12,2540
11,2380
10,2317
9,2302
8,2358
7,2464
6,2614
5,2856
4,3150
3,3489
2,3445
1,3057
0,2765
23,2624
22,2580
21,2580
20,2588
19,2682
18,2879
17,3030
16,3132
15,3177
14,2975
13,2692
12,2410
11,2239
10,2156
9,2161
8,2216
