Time,Demand
"('0.0',)",2609.85920961
"('1.0',)",3077.0
"('2.0',)",3542.97306592
"('3.0',)",3630.93933674
"('4.0',)",3453.17138093
"('5.0',)",3078.31815431
"('6.0',)",2908.56223316
"('7.0',)",2727.84033039
"('8.0',)",2408.94430226
"('9.0',)",2345.88249909
"('10.0',)",2455.82163861
"('11.0',)",2627.97614012
"('12.0',)",2806.48240773
"('13.0',)",2970.91801744
"('14.0',)",3037.28610492
"('15.0',)",3213.37744811
"('16.0',)",3228.92884248
"('17.0',)",3148.18804874
"('18.0',)",2865.11611757
"('19.0',)",2961.20716595
"('20.0',)",2858.78077529
"('21.0',)",2727.5292131
"('22.0',)",2580.8967717
"('23.0',)",2824.18314692
