Time,Demand
"('0.0',)",5065.70548908
"('1.0',)",5335.08257488
"('2.0',)",5434.37997865
"('3.0',)",5719.52825739
"('4.0',)",5815.04567486
"('5.0',)",5897.43086047
"('6.0',)",5965.54852507
"('7.0',)",5772.05245479
"('8.0',)",5877.35079794
"('9.0',)",6023.80069345
"('10.0',)",5809.96022627
"('11.0',)",5889.48156403
"('12.0',)",6170.79778621
"('13.0',)",6056.0
"('14.0',)",6163.28054989
"('15.0',)",6423.6156344
"('16.0',)",6487.82889806
"('17.0',)",6208.0299466
"('18.0',)",6319.81927535
"('19.0',)",5805.01747769
"('20.0',)",5761.99383939
"('21.0',)",5170.86457334
"('22.0',)",5269.06594025
"('23.0',)",5237.04314875
