Time,Demand
23,5236
22,5417
21,5622
20,5609
19,5570
18,5476
17,5459
16,5500
15,5544
14,5576
13,5512
12,5439
11,5372
10,5314
9,5250
8,5205
7,5399
6,5497
5,5626
4,5663
3,5911
2,5922
1,5795
0,5742
23,5768
22,5814
21,5832
20,5985
19,6069
18,6098
17,6151
16,5858
15,5796
14,5574
13,5497
12,5444
11,5352
10,5330
9,5380
8,5357
7,5477
6,5713
5,5921
4,6098
3,6165
2,6089
1,5760
0,5593
23,5437
22,5399
21,5384
20,5513
19,5689
18,6208
17,6370
16,6276
15,6180
14,6029
13,5758
12,5296
11,5181
10,5239
9,5296
8,5285
7,5366
6,5328
5,5520
4,5807
3,6044
2,6134
1,5769
0,5680
23,5683
22,5808
21,6162
20,6180
19,6068
18,6192
17,6033
16,6381
15,6420
14,6183
13,5932
12,5769
11,5677
10,5676
9,5678
8,5673
7,5703
6,5813
5,5804
4,6107
3,6213
2,6062
1,5819
0,5708
23,5764
22,5792
21,5862
20,5915
19,6132
18,6240
17,6238
16,6145
15,6048
14,5728
13,5598
12,5751
11,5777
10,5822
9,5628
8,5685
7,5648
6,5692
5,5985
4,6143
3,6092
2,6034
1,5804
0,5548
23,5525
22,5632
21,5766
20,5856
19,5272
18,5472
17,5572
16,5600
15,5471
14,5272
13,5062
12,5168
11,5293
10,5180
9,4977
8,5097
7,5401
6,5524
5,5688
4,5816
3,5592
2,5489
1,5447
0,5274
23,5226
22,5281
21,5287
20,5195
19,5137
18,5322
17,5508
16,5523
15,5586
14,5465
13,5499
12,5643
11,5488
10,5444
9,5497
8,5532
7,5477
6,5394
5,5496
4,5688
3,5730
2,5699
1,5701
0,5538
23,5403
22,5338
21,5201
20,5188
19,5404
18,5463
17,5597
16,5732
15,5555
14,5723
13,5439
12,5265
11,5144
10,5118
9,5103
8,5156
7,5257
6,5398
5,5598
4,5790
3,5826
2,5615
1,5361
0,5196
23,5161
22,5192
21,5243
20,5280
19,5416
18,5538
17,5819
16,5832
15,5548
14,5367
13,5174
12,4987
11,5083
10,5096
9,5090
8,5144
7,5167
6,5264
5,5560
4,5468
3,5448
2,5497
1,5439
0,5319
23,5217
22,5306
21,5275
20,5161
19,5257
18,5453
17,5450
16,5469
15,5553
14,5487
13,5394
12,5205
11,5132
10,5011
9,5016
8,5183
7,5303
6,5343
5,5363
4,5405
3,5459
2,5401
1,5096
0,4914
23,4951
22,5014
21,4907
20,5002
19,5118
18,5268
17,5352
16,5403
15,5416
14,5314
13,5192
12,5078
11,4960
10,4982
9,4970
8,4945
7,5008
6,5095
5,5398
4,5597
3,5481
2,5355
1,5241
0,5171
23,5203
