Time,Demand
23,5219
22,5182
21,5159
20,5172
19,5155
18,5207
17,5249
16,5299
15,5558
14,5506
13,5241
12,5118
11,5236
10,5417
09,5622
08,5609
07,5570
06,5476
05,5459
04,5500
03,5544
02,5576
01,5512
00,5439
23,5372
22,5314
21,5250
20,5205
19,5399
18,5497
17,5626
16,5663
15,5911
14,5922
13,5795
12,5742
11,5768
10,5814
09,5832
08,5985
07,6069
06,6098
05,6151
04,5858
03,5796
02,5574
01,5497
00,5444
23,5352
22,5330
21,5380
20,5357
19,5477
18,5713
17,5921
16,6098
15,6165
14,6089
13,5760
12,5593
11,5437
10,5399
09,5384
08,5513
07,5689
06,6208
05,6370
04,6276
03,6180
02,6029
01,5758
00,5296
23,5181
22,5239
21,5296
20,5285
19,5366
18,5328
17,5520
16,5807
15,6044
14,6134
13,5769
12,5680
11,5683
10,5808
09,6162
08,6180
07,6068
06,6192
05,6033
04,6381
03,6420
02,6183
01,5932
00,5769
23,5677
22,5676
21,5678
20,5673
19,5703
18,5813
17,5804
16,6107
15,6213
14,6062
13,5819
12,5708
11,5764
10,5792
09,5862
08,5915
07,6132
06,6240
05,6238
04,6145
03,6048
02,5728
01,5598
00,5751
23,5777
22,5822
21,5628
20,5685
19,5648
18,5692
17,5985
16,6143
15,6092
14,6034
13,5804
12,5548
11,5525
10,5632
09,5766
08,5856
07,5272
06,5472
05,5572
04,5600
03,5471
02,5272
01,5062
00,5168
23,5293
22,5180
21,4977
20,5097
19,5401
18,5524
17,5688
16,5816
15,5592
14,5489
13,5447
12,5274
11,5226
10,5281
09,5287
08,5195
07,5137
06,5322
05,5508
04,5523
03,5586
02,5465
01,5499
00,5643
23,5488
22,5444
21,5497
20,5532
19,5477
18,5394
17,5496
16,5688
15,5730
14,5699
13,5701
12,5538
11,5403
10,5338
09,5201
08,5188
07,5404
06,5463
05,5597
04,5732
03,5555
02,5723
01,5439
00,5265
23,5144
22,5118
21,5103
20,5156
19,5257
18,5398
17,5598
16,5790
15,5826
14,5615
13,5361
12,5196
11,5161
10,5192
09,5243
08,5280
07,5416
06,5538
05,5819
04,5832
03,5548
02,5367
01,5174
00,4987
23,5083
22,5096
21,5090
20,5144
19,5167
18,5264
17,5560
16,5468
15,5448
14,5497
13,5439
12,5319
11,5217
10,5306
09,5275
