Time,Demand
"('0.0',)",5874.30695952
"('1.0',)",6229.18024199
"('2.0',)",5999.13428477
"('3.0',)",6256.72977592
"('4.0',)",6102.90659511
"('5.0',)",6033.0
"('6.0',)",6016.35592325
"('7.0',)",5956.6060506
"('8.0',)",5850.74735764
"('9.0',)",6161.94315461
"('10.0',)",5860.65555469
"('11.0',)",5881.95963326
"('12.0',)",5590.16839209
"('13.0',)",6028.05904778
"('14.0',)",6077.73297992
"('15.0',)",5779.18985702
"('16.0',)",5605.67057122
"('17.0',)",5861.4881173
"('18.0',)",5288.81527706
"('19.0',)",5059.66618315
"('20.0',)",5316.21291146
"('21.0',)",5057.94306464
"('22.0',)",5098.11438595
"('23.0',)",4937.74686617
