Time,Demand
2017,12,2615
2017,12,2521
2017,12,2497
2017,12,2570
2017,12,2737
2017,12,2882
2017,12,3034
2017,12,3068
2017,12,3038
2017,12,2919
2017,12,2763
2017,12,2656
2017,12,2603
2017,12,2594
2017,12,2619
2017,12,2649
2017,12,2756
2017,12,2888
2017,12,3014
2017,12,3066
2017,12,3103
2017,12,3137
2017,12,2922
2017,12,2627
2017,12,2470
2017,12,2377
2017,12,2365
2017,12,2427
2017,12,2542
2017,12,2702
2017,12,2909
2017,12,3127
2017,12,3158
2017,12,3037
2017,12,2842
2017,12,2710
2017,12,2647
2017,12,2615
2017,12,2625
2017,12,2679
2017,12,2773
2017,12,2955
2017,12,3072
2017,12,3122
2017,12,3165
2017,12,3177
2017,12,2997
2017,12,2707
2017,12,2556
2017,12,2459
2017,12,2438
2017,12,2497
2017,12,2623
2017,12,2812
2017,12,3052
2017,12,3307
2017,12,3432
2017,12,3272
2017,12,3023
2017,12,2793
2017,12,2684
2017,12,2662
2017,12,2649
2017,12,2700
2017,12,2807
2017,12,2987
2017,12,3136
2017,12,3238
2017,12,3257
2017,12,3273
2017,12,3042
2017,12,2757
2017,12,2575
2017,12,2480
2017,12,2482
2017,12,2526
2017,12,2662
2017,12,2838
2017,12,3103
2017,12,3383
2017,12,3506
2017,12,3363
2017,12,3089
2017,12,2866
2017,12,2756
2017,12,2698
2017,12,2702
2017,12,2750
2017,12,2851
2017,12,3037
2017,12,3199
2017,12,3275
2017,12,3305
2017,12,3298
2017,12,3041
2017,12,2740
2017,12,2565
2017,12,2498
2017,12,2492
2017,12,2575
2017,12,2730
2017,12,2914
2017,12,3163
2017,12,3404
2017,12,3461
2017,12,3320
2017,12,3037
2017,12,2826
2017,12,2694
2017,12,2661
2017,12,2659
2017,12,2715
2017,12,2825
2017,12,3003
2017,12,3185
2017,12,3279
2017,12,3317
2017,12,3309
2017,12,3118
2017,12,2802
2017,12,2635
2017,12,2536
2017,12,2483
2017,12,2550
2017,12,2688
2017,12,2928
2017,12,3141
2017,12,3380
2017,12,3469
2017,12,3311
2017,12,3073
2017,12,2845
2017,12,2722
2017,12,2683
2017,12,2671
2017,12,2715
2017,12,2770
2017,12,2934
2017,12,3031
2017,12,3054
