Time,Demand
23,4408
22,4208
21,3923
20,3647
19,3409
18,3228
17,3056
16,2974
15,2949
14,2874
13,2722
12,2638
11,2589
10,2643
09,2761
08,2939
07,3205
06,3576
05,4002
04,4298
03,4369
02,4493
01,4519
00,4377
23,4151
22,3932
21,3698
20,3455
19,3270
18,3126
17,3052
16,2985
15,2941
14,2876
13,2720
12,2631
11,2591
10,2666
09,2780
08,2928
07,3175
06,3521
05,3929
04,4186
03,4221
02,4285
01,4290.2
00,4200.2
23,3830
22,3683
21,3449
20,3235
19,3089
18,2962
17,2872
16,2844
15,2849
14,2801
13,2647
12,2539
11,2487
10,2527
09,2606
08,2749
07,2950
06,3271
05,3583
04,3809
03,3837
02,3889
01,3848
00,3656
23,3411
22,3212
21,2977
20,2822
19,2716
18,2602
17,2544
16,2489
15,2446
14,2403
13,2418
12,2442
11,2488
10,2557
09,2671
08,2827
07,3020
06,3305
05,3555
04,3743
03,3824
02,3890
01,3913
00,3785
23,3593
22,3418
21,3248
20,3110
19,3014
18,2914
17,2825
16,2771
15,2703
14,2643
13,2613
12,2635
11,2686
10,2761
09,2899
08,3087
07,3368
06,3691
05,3999
04,4247
03,4289
02,4442
01,4608
00,4642
23,4501
22,4344
21,4094
20,3869
19,3664
18,3527
17,3410
16,3325
15,3242
14,3116
13,2958
12,2890
11,2887
10,3000
09,3175
08,3409
07,3735
06,4189
05,4615
04,4926
03,5034
02,5219
01,5357
00,5264
23,5023
22,4822
21,4520
20,4175
19,3900
18,3641
17,3417
16,3262
15,3172
14,3044
13,2882
12,2798
11,2794
10,2903
09,3067
08,3280
07,3577
06,4012
05,4485
04,4848
03,5024
02,5249
01,5335
00,5251
23,5036
22,4831
21,4511
20,4167
19,3841
18,3608
17,3366
16,3218
15,3141
14,3028
13,2861
12,2763
11,2752
10,2844
09,3008
08,3209
07,3501
06,3930
05,4398
04,4774
03,4979
02,5233
01,5341
00,5218
23,4985
22,4738
21,4403
20,4040
19,3472
18,3224
17,3036
16,3144
15,3070
14,2982
13,2825
12,2731
11,2706
10,2779
09,2910
08,3109
07,3398
06,3818
05,4280
04,4661
03,4828
02,5047
01,5104
00,4956
23,4632
22,4414
21,4192
20,3970
19,3808
18,3669
17,3509
16,3315
15,3216
14,3074
13,2926
12,2807
11,2769
10,2834
09,2968
08,3164
07,3454
06,3849
05,4260
04,4589
03,4774
02,4930
01,5095
00,4962
23,4785
22,4649
21,4467
20,4110
19,3709
18,3357
17,3070
16,2788
15,2632
14,2539
13,2545
12,2567
11,2611
10,2692
09,2822
08,3018
07,3281
06,3602
05,3912
04,4217
03,4466
02,4688
01,4787
00,4611
23,4314
22,4029
21,3831
20,3558
19,3309
18,3082
17,2890
16,2731
15,2589
14,2520
13,2507
12,2486
11,2506
10,2566
09,2684
08,2844
07,3088
06,3382
05,3697
04,3929
03,4025
02,4136
01,4139
00,3981
23,3726
22,3514
21,3195
20,3088
19,2950
18,2803
17,2741
16,2743
15,2763
14,2766
13,2632
12,2514
11,2447
10,2471
09,2542
08,2654
07,2831
06,3109
05,3385
04,3530
03,3492
02,3400
01,3322
00,3148
23,2923
22,2745
21,2595
20,2508
19,2476
18,2488
17,2505
16,2594
15,2705
14,2727
13,2623
12,2482
11,2432
10,2437
09,2477
08,2547
07,3294
06,3606
05,3929
04,4183
03,4335
02,4447
01,4533
00,4482
23,4332
22,4154
21,3917
20,3644
19,3434
18,3281
17,3148
16,3072
15,3073
14,3017
13,2878
12,2760
11,2732
10,2810
09,2929
08,3103
07,3240
06,3606
05,3954
04,4206
03,4281
02,4301
01,4299
00,4303
23,4239
22,4138
21,3909
20,3534
19,3289
18,3197
17,3072
16,2985
15,2943
14,2867
13,2766
12,2641
11,2611
10,2689
09,2801
08,2986
07,3247
06,3607
05,4022
04,4317
03,4435
02,4536
