Time,Demand
23,2356
22,2285
21,2292
20,2368
19,2471
18,2578
17,2807
16,3135
15,3338
14,3280
13,2950
12,2709
11,2599
10,2527
09,2552
08,2593
07,2581
06,2777
05,2976
04,3091
03,3124
02,2931
01,2668
00,2412
23,2253
22,2169
21,2105
20,2137
19,2201
18,2292
17,2413
16,2544
15,2628
14,2602
13,2488
12,2410
11,2393
10,2396
09,2416
08,2488
07,2595
06,2771
05,2901
04,2984
03,3019
02,2873
01,2688
00,2469
23,2296
22,2206
21,2194
20,2223
19,2265
18,2371
17,2504
16,2632
15,2726
14,2690
13,2551
12,2452
11,2402
10,2404
09,2434
08,2513
07,2644
06,2822
05,2996
04,3070
03,3093
02,2930
01,2741
00,2597
23,2512
22,2484
21,2353
20,2383
19,2458
18,2557
17,2704
16,2886
15,3049
14,3031
13,2768
12,2550
11,2475
10,2454
09,2496
08,2567
07,2662
06,2876
05,3077
04,3194
03,3225
02,3052
01,2823
00,2656
23,2528
22,2489
21,2504
20,2522
19,2597
18,2566
17,2611
16,2790
15,2904
14,2855
13,2613
12,2435
11,2379
10,2372
09,2425
08,2518
07,2675
06,2904
05,3143
04,3281
03,3353
02,3241
01,3085
00,2914
23,2760
22,2681
21,2612
20,2564
19,2534
18,2578
17,2647
16,2768
15,2888
14,2881
13,2627
12,2438
11,2378
10,2366
09,2428
08,2505
07,2660
06,2897
05,3132
04,3261
03,3312
02,3217
01,3054
00,2928
23,2812
22,2737
21,2637
20,2621
19,2596
18,2649
17,2716
16,2835
15,2908
14,2877
13,2627
12,2445
11,2362
10,2373
09,2416
08,2499
07,2665
06,2877
05,3090
04,3214
03,3256
02,3156
01,2955
00,2764
23,2603
22,2520
21,2471
20,2431
19,2484
18,2582
17,2774
16,3016
15,3192
14,3122
13,2800
12,2554
11,2439
10,2397
09,2416
08,2483
07,2617
06,2831
05,3043
04,3197
03,3225
02,3135
01,2918
00,2781
23,2659
22,2574
21,2638
20,2543
19,2524
18,2652
17,2841
16,3043
15,3283
14,3281
13,2917
12,2660
11,2524
10,2484
09,2488
08,2535
07,2640
06,2842
05,3063
04,3192
03,3211
02,3073
01,2812
00,2604
23,2421
22,2357
21,2347
20,2357
19,2430
18,2584
17,2845
16,3165
15,3402
14,3367
13,3002
12,2720
11,2617
10,2564
09,2567
08,2598
07,2686
06,2888
05,3086
04,3202
03,3241
02,3081
01,2794
00,2540
23,2380
22,2317
21,2302
20,2358
19,2464
18,2614
17,2856
16,3150
15,3489
14,3445
13,3057
12,2765
11,2624
10,2580
09,2580
08,2588
07,2682
06,2879
05,3030
04,3132
03,3177
02,2975
01,2692
00,2410
23,2239
22,2156
21,2161
20,2216
19,2326
18,2451
17,2584
16,2694
15,2733
14,2674
13,2527
12,2434
11,2404
10,2404
09,2426
08,2473
07,2602
06,2754
05,2888
04,2969
03,3007
02,2921
01,2668
00,2443
23,2277
22,2206
21,2176
20,2233
19,2325
18,2483
17,2668
16,2894
15,3037
14,2976
13,2751
12,2607
11,2535
10,2505
09,2509
08,2568
07,2668
06,2825
05,2972
04,3044
03,3082
02,2954
01,2723
00,2521
23,2354
22,2300
21,2278
20,2318
19,2445
18,2573
17,2890
16,3230
15,3577
14,3528
13,3150
12,2842
11,2717
10,2653
09,2646
08,2689
07,2750
06,2942
05,3127
04,3237
03,3216
02,3065
01,2773
00,2539
23,2368
22,2323
21,2329
20,2370
19,2500
18,2705
17,2982
16,3382
15,3731
14,3715
13,3312
12,3001
11,2850
10,2787
09,2790
08,2811
07,2896
06,3089
05,3288
04,3373
03,3368
02,3194
01,2855
00,2593
23,2460
22,2427
21,2461
20,2528
19,2680
18,2868
17,3100
16,3439
15,3660
14,3594
13,3213
12,2920
11,2790
10,2720
09,2733
08,2748
07,2868
06,3041
05,3250
04,3362
03,3381
02,3310
01,3048
00,2811
23,2568
22,2419
21,2360
20,2394
19,2529
18,2720
17,2978
16,3338
15,3716
14,3674
13,3277
12,2973
11,2818
10,2764
09,2732
08,2757
07,2841
06,3027
05,3222
04,3321
03,3330
02,3157
01,2824
00,2561
23,2405
22,2342
21,2359
20,2433
19,2593
18,2836
17,3158
16,3580
15,3968
