Time,Demand
23,2756
22,2646
21,2631
20,2688
19,2792
18,2969
17,3166
16,3419
15,3576
14,3451
13,3075
12,2819
11,2701
10,2694
09,2705
08,2777
07,2887
06,3117
05,3328
04,3436
03,3461
02,3453
01,3217
00,2868
23,2670
22,2584
21,2543
20,2577
19,2713
18,2895
17,3141
16,3468
15,3686
14,3566
13,3204
12,2927
11,2799
10,2747
09,2754
08,2798
07,2920
06,3132
05,3321
04,3433
03,3449
02,3424
01,3184
00,2830
23,2636
22,2548
21,2529
20,2573
19,2693
18,2872
17,3135
16,3451
15,3664
14,3548
13,3164
12,2887
11,2746
10,2724
09,2725
08,2775
07,2889
06,3095
05,3311
04,3424
03,3451
02,3450
01,3183
00,2837
23,2643
22,2561
21,2542
20,2581
19,2690
18,2841
17,3062
16,3338
15,3526
14,3396
13,3019
12,2763
11,2632
10,2596
09,2594
08,2653
07,2773
06,2970
05,3167
04,3283
03,3333
02,3343
01,3143
00,2815
23,2648
22,2563
21,2545
20,2545
19,2649
18,2723
17,2851
16,2941
15,2896
14,2802
13,2693
12,2607
11,2586
10,2610
09,2635
08,2707
07,2839
06,3006
05,3153
04,3228
03,3273
02,3296
01,3143
00,2816
23,2643
22,2610
21,2662
20,2672
19,2865
18,3049
17,3146
16,3165
15,3112
14,2985
13,2815
12,2698
11,2656
10,2650
09,2669
08,2741
07,2856
06,3020
05,3169
04,3237
03,3258
02,3287
01,3118
00,2815
23,2649
22,2550
21,2517
20,2527
19,2618
18,2732
17,2931
16,3174
15,3326
14,3211
13,2874
12,2632
11,2539
10,2531
09,2539
08,2633
07,2752
06,2981
05,3228
04,3353
03,3385
02,3389
01,3217
00,2884
23,2709
22,2608
21,2573
20,2587
19,2679
18,2832
17,3045
16,3325
15,3524
14,3427
13,3048
12,2791
11,2661
10,2625
09,2616
08,2675
07,2788
06,3000
05,3213
04,3346
03,3382
02,3390
01,3183
00,2869
23,2685
22,2589
21,2534
20,2557
19,2628
18,2766
17,2954
16,3234
15,3435
14,3331
13,2984
12,2705
11,2602
10,2566
09,2597
08,2642
07,2766
06,2987
05,3209
04,3349
03,3411
02,3393
01,3203
00,2869
23,2722
22,2661
21,2621
20,2593
19,2644
18,2756
17,2972
16,3250
15,3433
14,3327
13,2981
12,2733
11,2609
10,2582
09,2580
08,2643
07,2770
06,2977
05,3206
04,3327
03,3391
02,3396
01,3194
00,2891
23,2727
22,2658
21,2600
20,2631
19,2646
18,2773
17,2935
16,3110
15,3229
14,3113
13,2792
12,2557
11,2465
10,2434
09,2466
08,2522
07,2648
06,2860
05,3072
04,3208
03,3267
02,3295
01,3132
00,2796
23,2650
22,2572
21,2491
20,2528
19,2526
18,2593
17,2690
16,2786
15,2798
14,2717
13,2575
12,2500
11,2474
10,2494
09,2531
08,2624
07,2728
06,2911
05,3034
04,3115
03,3133
02,3196
01,3090
00,2765
23,2573
22,2467
21,2424
20,2454
19,2543
18,2710
17,2926
16,3141
15,3196
14,3079
13,2882
12,2744
11,2689
10,2668
09,2699
08,2750
07,2866
06,3025
05,3183
04,3235
03,3276
02,3281
01,3124
00,2788
23,2595
22,2515
21,2477
20,2505
19,2627
18,2781
17,3000
16,3277
15,3495
14,3382
13,3017
12,2777
11,2650
10,2632
09,2648
08,2717
07,2815
06,3031
05,3242
04,3367
03,3408
02,3393
01,3195
00,2832
23,2637
22,2525
21,2504
20,2522
19,2598
18,2713
17,2875
16,3084
15,3265
14,3198
13,2846
12,2626
11,2529
10,2520
09,2548
08,2608
07,2714
06,2943
05,3115
04,3289
03,3341
02,3343
01,3151
00,2845
23,2670
22,2558
21,2512
20,2496
19,2553
18,2676
17,2833
16,3042
15,3222
14,3160
13,2833
12,2593
11,2501
10,2476
09,2526
08,2575
07,2710
06,2942
05,3168
04,3320
03,3366
02,3385
01,3208
00,2865
23,2736
22,2711
21,2699
20,2723
19,2759
18,2931
17,3065
16,3156
15,3242
14,3130
13,2801
12,2584
11,2485
10,2478
09,2505
08,2566
07,2682
06,2897
05,3137
04,3270
03,3341
02,3370
01,3190
00,2890
23,2697
22,2640
21,2595
20,2541
19,2566
18,2640
17,2758
16,2928
15,3042
14,2980
13,2670
12,2448
11,2353
10,2331
09,2376
08,2437
07,2577
06,2788
05,3012
04,3159
03,3234
02,3304
01,3149
00,2884
23,2716
22,2605
21,2520
20,2441
19,2426
18,2450
17,2512
16,2551
15,2534
14,2492
13,2380
12,2325
11,2316
10,2327
09,2398
08,2481
07,2626
06,2816
05,2962
04,3050
03,3137
02,3196
01,3133
00,2936
23,2775
22,2643
21,2559
20,2504
19,2524
18,2658
17,2742
16,2744
15,2691
14,2579
13,2449
12,2374
11,2344
10,2362
09,2421
08,2488
07,2625
06,2833
05,2978
04,3090
03,3156
02,3221
01,3111
00,2920
23,2838
22,2766
21,2028
20,2023
19,2690
18,2717
17,2806
16,2911
15,2971
14,2882
13,2602
12,2415
11,2344
10,2350
09,2397
08,2474
07,2610
06,2827
05,3047
04,3168
03,3234
02,3277
01,3169
00,2922
23,2837
22,2776
21,2770
20,2793
19,2862
18,2875
17,2887
16,2946
15,3018
14,2945
13,2663
12,2452
11,2383
10,2386
09,2424
08,2497
07,2623
06,2837
05,3063
04,3217
03,3288
02,3315
01,3217
00,2952
23,2838
22,2762
21,2773
20,2777
19,2750
18,2758
17,2828
16,2953
15,3022
14,2947
13,2671
12,2458
11,2379
10,2390
09,2421
08,2492
07,2638
06,2845
05,3058
04,3202
03,3269
02,3316
01,3188
00,2922
23,2802
22,2685
21,2598
20,2559
19,2562
18,2627
17,2733
16,2888
15,3018
14,2971
13,2670
12,2480
11,2405
10,2402
09,2437
08,2526
07,2650
06,2880
05,3122
04,3277
03,3352
02,3410
01,3269
00,3004
23,2931
22,2925
21,2863
20,2787
19,2730
18,2680
17,2765
16,2843
15,2960
14,2913
13,2620
12,2413
11,2340
10,2329
09,2370
08,2441
07,2585
06,2810
05,3049
04,3216
03,3330
02,3436
01,3364
00,3228
23,3036
22,2839
21,2658
20,2541
19,2467
18,2447
17,2453
16,2492
15,2496
14,2472
13,2380
12,2335
11,2335
10,2365
09,2413
08,2506
07,2642
06,2841
05,2986
04,3103
03,3198
02,3294
01,3266
00,3147
23,2953
22,2779
21,2626
20,2540
19,2537
18,2529
17,2528
16,2573
15,2551
14,2512
13,2394
12,2339
11,2313
10,2350
09,2409
08,2501
07,2650
06,2820
05,2978
04,3082
03,3174
02,3260
01,3226
00,3085
23,2933
22,2760
21,2605
20,2496
19,2468
18,2464
17,2486
16,2545
15,2570
14,2550
13,2434
12,2340
11,2300
10,2316
09,2367
08,2437
07,2555
06,2716
05,2852
04,2927
03,3008
02,3108
01,3171
00,3215
23,3161
22,3071
21,2952
20,2865
19,2785
18,2716
17,2695
16,2641
15,2578
14,2525
13,2427
12,2363
11,2353
10,2376
09,2452
08,2554
07,2706
06,2918
05,3103
04,3234
03,3338
02,3419
01,3383
00,3262
23,3127
22,2972
21,2847
20,2752
19,2725
18,2723
17,2775
16,2860
15,2925
14,2847
13,2637
12,2465
11,2391
10,2407
09,2443
08,2517
07,2660
06,2864
05,3055
04,3169
03,3269
02,3314
01,3204
00,2972
23,2854
22,2764
21,2663
20,2597
19,2613
18,2692
17,2775
16,2911
15,3021
14,2981
13,2699
12,2510
11,2428
10,2417
09,2461
08,2530
07,2649
06,2858
05,3064
04,3220
03,3298
02,3338
01,3209
00,2933
23,2827
22,2718
21,2627
20,2608
19,2596
18,2660
17,2800
16,2924
15,3010
14,2974
13,2696
12,2492
11,2402
10,2392
09,2426
08,2487
07,2600
06,2799
05,2993
04,3150
03,3220
02,3282
01,3151
00,2929
23,2719
22,2563
21,2448
20,2417
19,2414
18,2454
17,2510
16,2592
15,2603
14,2573
13,2461
12,2410
11,2397
10,2407
09,2450
08,2513
07,2631
06,2791
05,2936
04,3039
03,3102
02,3172
01,3108
00,2910
23,2740
22,2618
21,2505
20,2464
19,2476
18,2528
17,2593
16,2677
15,2688
14,2639
13,2511
12,2428
11,2405
10,2430
09,2485
08,2567
07,2698
06,2897
05,3041
04,3147
03,3210
02,3266
01,3205
00,3028
23,2970
22,2922
21,2896
20,2871
19,2905
18,2919
17,2900
16,2947
15,2986
14,2920
13,2647
12,2466
11,2407
10,2417
09,2472
08,2556
07,2688
06,2913
05,3158
04,3317
03,3418
02,3486
01,3422
00,3274
23,3122
22,2988
21,2893
20,2797
19,2749
18,2741
17,2771
16,2879
15,2997
14,2980
13,2700
12,2506
11,2436
10,2441
09,2481
08,2570
07,2707
06,2931
05,3149
04,3312
03,3404
02,3472
01,3370
00,3195
23,3037
22,2966
21,2838
20,2742
19,2704
18,2695
17,2746
16,2895
15,2988
14,2976
13,2695
12,2506
11,2431
10,2429
09,2472
08,2547
07,2662
06,2895
05,3147
04,3306
03,3430
02,3507
01,3410
00,3264
23,3144
22,3003
21,2913
20,2770
19,2704
18,2676
17,2721
16,2833
15,2968
14,2935
13,2671
12,2472
11,2413
10,2425
09,2454
08,2551
07,2698
06,2930
05,3181
04,3361
03,3488
02,3580
01,3517
00,3369
23,3270
22,3118
21,2961
20,2856
19,2785
18,2791
17,2825
16,2895
15,2952
14,2934
13,2644
12,2448
11,2364
10,2377
09,2432
08,2490
07,2624
06,2832
05,3064
04,3219
03,3332
02,3422
01,3340
00,3134
23,2963
22,2820
21,2643
20,2549
19,2496
18,2495
17,2497
16,2524
15,2509
14,2493
13,2411
12,2351
11,2344
10,2373
09,2407
08,2507
07,2641
06,2793
05,2977
04,3069
03,3195
