Time,Demand
,
0,6202
,
1,5967
1,
2,5692
2,
3,5373
3,
4,5147
4,
5,4878
5,
6,4558
6,
7,4282
7,
8,4071
8,
9,3918
9,
10,3821
10,
11,3714
11,
12,3729
12,
13,3852
13,
14,4040
14,
15,4280
15,
16,4601
16,
17,5001
17,
18,5488
18,
19,5890
19,
20,6230
20,
21,6384
21,
22,6642
22,
23,6656
23,
24,6500
24,
25,6240
25,
26,5874
26,
27,5589
27,
28,5334
28,
29,5013
29,
30,4675
30,
31,4403
31,
32,4197
32,
33,4024
33,
34,3931
34,
35,3813
35,
36,3835
36,
37,3955
37,
38,4124
38,
39,4350
39,
40,4676
40,
41,5137
41,
42,5613
42,
43,5984
43,
44,6298
44,
45,6448
45,
46,6654
46,
47,6669
47,
48,6521
48,
49,6267
49,
50,5947
50,
51,5628
51,
52,5365
52,
53,5050
53,
54,4706
54,
55,4443
55,
56,4213
56,
57,4068
57,
58,3952
58,
59,3851
59,
60,3878
60,
61,4006
61,
62,4164
62,
63,4409
63,
64,4714
64,
65,5198
65,
66,5721
66,
67,6125
67,
68,6386
68,
69,6493
69,
70,6686
70,
71,6705
71,
72,6588
72,
73,6386
73,
74,6105
74,
75,5799
75,
76,5540
76,
77,5199
77,
78,4859
78,
79,4564
79,
80,4384
80,
81,4207
81,
82,4096
82,
83,3979
83,
84,3972
84,
85,4061
85,
86,4209
86,
87,4432
87,
88,4752
88,
89,5170
89,
90,5623
90,
91,5990
91,
92,6254
92,
93,6482
93,
94,6635
94,
95,6544
95,
96,6375
96,
97,6179
97,
98,5906
98,
99,5571
99,
100,5217
100,
101,4809
101,
102,4408
102,
103,4044
103,
104,3758
104,
105,3630
105,
106,3703
106,
107,3725
107,
108,3777
108,
109,3905
109,
110,4071
110,
111,4317
111,
112,4597
112,
113,4891
113,
114,5224
114,
115,5574
115,
116,5907
116,
117,6178
117,
118,6566
118,
119,6617
119,
120,6520
120,
121,6277
121,
122,5953
122,
123,5599
123,
124,5234
124,
125,4827
125,
126,4420
126,
127,4061
127,
128,3722
128,
129,3520
129,
130,3539
130,
131,3543
131,
132,3611
132,
133,3750
133,
134,3918
134,
135,4175
135,
136,4489
136,
137,4907
137,
138,5337
138,
139,5687
139,
140,6013
140,
141,6213
141,
142,6428
142,
143,6430
143,
144,6247
144,
145,6006
145,
146,5673
146,
147,5314
147,
148,5025
148,
149,4684
149,
150,4389
150,
151,4102
151,
152,3923
152,
153,3761
153,
154,3627
154,
155,3509
155,
156,3504
156,
157,3598
157,
158,3733
158,
159,3960
159,
160,4255
160,
161,4630
161,
162,5069
162,
163,5446
163,
164,5698
164,
165,5836
165,
166,6037
166,
167,5990
167,
168,5737
168,
169,5458
169,
170,5177
170,
171,4889
171,
172,4644
172,
173,4420
173,
174,4196
174,
175,4022
175,
176,3907
176,
177,3732
177,
178,3600
178,
179,3468
179,
180,3436
180,
181,3527
181,
182,3685
182,
183,3900
183,
184,4197
184,
185,4634
185,
186,5185
186,
187,5651
187,
188,6008
188,
189,6172
189,
190,6314
190,
191,6375
191,
192,6219
192,
193,5965
193,
194,5675
194,
195,5360
195,
196,5092
196,
197,4810
197,
198,4511
198,
199,4285
199,
200,4090
200,
201,3935
201,
202,3807
202,
203,3677
203,
204,3657
204,
205,3756
205,
206,3897
206,
207,4100
207,
208,4411
208,
209,4840
209,
210,5346
210,
211,5757
211,
212,6043
212,
213,6214
213,
214,6421
214,
215,6367
215,
216,6195
216,
217,5925
217,
218,5599
218,
219,5235
219,
220,4968
220,
221,4617
221,
222,4268
222,
223,4022
223,
224,3848
224,
225,3685
225,
226,3566
226,
227,3448
227,
228,3457
228,
229,3547
229,
230,3682
230,
231,3883
231,
232,4190
232,
233,4635
233,
234,5091
234,
235,5411
235,
236,5607
236,
237,5705
237,
238,5833
238,
239,5777
239,
240,5595
240,
241,5333
241,
242,5011
242,
243,4660
243,
244,4464
244,
245,4549
245,
246,4366
246,
247,4097
247,
248,3948
248,
249,3794
249,
250,3650
250,
251,3519
251,
252,3471
252,
253,3543
253,
254,3687
254,
255,3879
255,
256,4154
256,
257,4512
257,
258,4836
258,
259,5104
259,
260,5249
260,
261,5353
261,
262,5478
262,
263,5375
263,
264,5104
264,
265,4798
265,
266,4567
266,
267,4384
267,
268,4197
268,
269,4010
269,
270,3825
270,
271,3607
271,
272,3410
272,
273,3286
273,
274,3371
274,
275,3413
275,
276,3505
276,
277,3639
277,
278,3807
278,
279,4039
279,
280,4308
280,
281,4614
